Bairro,Endereco,Quartos,Tipo,Preco,Distancia do aeroporto,CEP,Banheiro,Vagas,Area terreno,Area construida,Ano da construcao,Latitude,Longitude
South Yarra,7 Cassell St,2,casa,1710000,3.3,3141,2,0,208,145,1880,-37.83664,
North Melbourne,2 Haines St,4,casa,,2.3,3051,2,2,156,150,1880,-37.7987,144.9499
Fitzroy,60 Bell St,4,casa,1620000,1.6,3065,2,1,132,165,1880,-37.8004,144.9768
Middle Park,82 Hambleton St,3,casa,1500000,4.1,3206,2,1,151,165,1880,-37847,144.9594
Cremorne,443 Punt Rd,3,casa,1280000,2.5,3121,2,2,324,165,1880,-37.8278,144.9885
Cremorne,443 Punt Rd,3,casa,1475000,2.5,3121,2,2,324,165,1880,-37.8278,144.9885
Port Melbourne,59 Heath St,3,casa,1670000,3.8,3207,2,1,140,169,1880,-37.8353,144.9442
Windsor,23 Raleigh St,4,casa,,5.1,3181,2,0,310,169,1880,-37.8522,144.9858
Kew,116 Edgevale Rd,3,casa,,5.6,3101,2,1,267,176,1880,-37.8114,145.0433
Fitzroy,160 Nicholson St,3,casa,,1.6,3065,2,0,150,180,1880,-37.79618,144.97497
Albert Park,104 Richardson St,4,casa,2300000,3.3,3206,2,1,153,180,1880,-37.8447,144.9523
Albert Park,2 Dundas Pl,3,casa,2615000,3.3,3206,2,1,177,181,1880,-37.8415,144.9585
Elsternwick,17 Staniland Gr,4,casa,2600000,8.5,3185,2,2,527,184,1880,-37883,145.0043
Carlton,106 Canning St,4,casa,,1.8,3053,2,0,224,191,1880,-37.7963,144.9734
St Kilda,7 Victoria St,3,casa,2000000,6.1,3182,2,2,176,192,1880,-37.8641,144.9739
Moonee Ponds,43 Chaucer St,3,casa,1440000,6.9,3039,2,1,287,196,1880,-37.7698,144.9214
St Kilda,30 Odessa St,4,casa,1950000,6.1,3182,2,2,436,211,1880,-37.8629,144.9887
Coburg,247 Moreland Rd,4,casa,,7.8,3058,2,2,229,220,1880,-37.7549,144.9609
Kew,51 Davis St,4,casa,,5.6,3101,2,3,840,223,1880,-37.8108,145.0463
Port Melbourne,203 Station St,3,casa,2400000,3.8,3207,2,2,368,226,1880,-37.83473,144.9389
Surrey Hills,15 Durham Rd,4,casa,,11.2,3127,2,4,1000,232,1880,-37.82214,
South Yarra,18 Avoca St,4,casa,5700000,3.3,3141,2,0,292,272,1880,-37.8377,144.9894
Brighton,60 Halifax St,4,casa,,11.2,3186,2,2,993,300,1880,-37.9157,145.0029
Fitzroy North,43 Woodside St,2,casa,1802500,3.5,3068,2,1,182,,1880,-37.78434,144.98048
Moonee Ponds,28 Vine St,3,casa,1683000,6.9,3039,2,2,222,,1880,-37.7688,144.9291
South Yarra,10 Luxton Rd,3,casa,2870000,3.3,3141,2,2,350,,1880,-37.8451,145.0019
Fitzroy North,86 Clauscen St,3,casa,1710000,3.5,3068,2,0,357,,1880,-37.7778,144.9824
Surrey Hills,54 Croydon Rd,4,casa,2003000,11.2,3127,2,1,383,,1880,-37.8234,145.0923
Brunswick,314 Barkly St,3,casa,1310000,5.2,3056,2,2,426,,1880,-37.7759,144.9578
Moonee Ponds,1 Athol St,4,casa,1350000,6.9,3039,2,2,447,,1880,-37.7704,144.9199
Hampton,38 Orlando St,3,casa,2439500,13.7,3188,2,2,662,,1880,-37.9384,145.0002
Albert Park,81 Merton St,4,casa,,3.3,3206,3,0,135,210,1880,-37.84355,144.95496
North Melbourne,10 Canning St,4,casa,2920000,2.3,3051,3,4,310,276,1880,-37.7958,144944
West Melbourne,96 Roden St,3,casa,2370000,1.9,3003,3,2,265,280,1880,-37.8073,144.9481
Brighton,161 Church St,5,casa,5800000,11.2,3186,4,4,1276,,1880,-37.9164,144.99742
Canterbury,49 Mangarra Rd,5,casa,8000000,9,3126,5,4,2079,464.3,1880,-37.81788,145.06939
North Melbourne,112 Dryburgh St,4,casa,,2.3,3051,3,0,169,201,1881,-37804,144.9436
Carlton North,377 Canning St,3,casa,,3.2,3054,2,1,163,167,1883,-37.7877,144.9743
St Kilda,18 Crimea St,5,casa,5046000,6.1,3182,3,3,1294,378,1884,-37.8589,144.9883
Fitzroy North,2 Scotchmer St,2,casa,1210000,3.5,3068,1,1,223,118,1885,-37.7829,144.9782
Kew,17 Gladstone St,3,casa,1410000,5.6,3101,1,2,304,127,1885,-37.8023,145.0404
Flemington,43 Finsbury St,3,casa,1110000,4.4,3031,1,1,272,131,1885,-37.7857,144931
Albert Park,5 Dundas Pl,3,casa,,3.3,3206,1,0,144,160,1885,-37.84207,144.95859
South Yarra,171 Williams Rd,3,casa,,3.3,3141,1,2,222,164,1885,-37.8474,145.0031
Hawthorn,4 Falmouth St,2,casa,1828500,4.6,3122,1,0,243,,1885,-37.8202,145.0409
Box Hill,10 Kent Rd,5,casa,,13.1,3128,2,2,712,238,1885,-37.8245,145121
Elsternwick,53 Shoobra Rd,4,casa,2600000,8.5,3185,3,2,701,273,1885,-37.8897,145008
Malvern East,558 Waverley Rd,3,casa,1500000,11.2,3145,1,2,888,165,1886,-37.8799,145.0738
Brighton East,12 Agnew St,3,casa,2291000,10.7,3187,2,2,530,,1886,-37.91185,145.01103
Newport,75 The Strand,4,casa,3420000,8.4,3015,2,2,757,,1886,-37849,144.8947
Kensington,14 Altona St,2,apartamento,812000,4.2,3031,1,0,132,79,1887,-37.7989,144.9275
Ascot Vale,75 Maribyrnong Rd,6,casa,2250000,5.9,3032,3,2,1012,435,1887,-37.77214,144.91838
Ascot Vale,75 Maribyrnong Rd,6,casa,2425000,5.9,3032,3,2,1014,435,1887,-37.7721,144.9184
Prahran,20/67 High St,1,kitnet,492000,4.5,3181,1,1,1768,45,1888,-37851,144988
Albert Park,13/123 Beaconsfield Pde,1,kitnet,1100000,3.3,3206,1,1,,64,1888,-37.8487,144.9511
Prahran,16/67 High St,2,kitnet,,4.5,3181,1,1,,74,1888,-37851,144988
Prahran,12/67 High St,2,kitnet,530000,4.5,3181,1,1,,76,1888,-37851,144988
Armadale,28 Cambridge St,3,casa,1870000,6.3,3143,1,1,217,116,1888,-37.8592,145.0182
Prahran,8/67 High St,2,kitnet,700000,4.5,3181,1,1,,,1888,-37851,144988
Clifton Hill,63 Spensley St,3,casa,,3.4,3068,1,0,152,,1888,-37.7885,144.9986
Armadale,1 Cambridge St,2,casa,,6.3,3143,1,2,230,,1888,-37.8593,145017
Abbotsford,22 Lulie St,3,casa,1165000,2.5,3067,2,0,92,114,1888,-37.80523,145.00265
Coburg,13 Hudson St,4,casa,1160000,7.8,3058,2,5,371,,1888,-37.7436,144962
Armadale,7 Llaneast St,3,casa,1939000,6.3,3143,2,2,296,150,1889,-37.8614,145.0274
Collingwood,12/120 Cambridge St,2,kitnet,1645000,1.6,3066,1,3,,2,1890,-37.8046,144.9858
South Yarra,4/943 Punt Rd,2,kitnet,520000,3.3,3141,1,1,,62,1890,-37.8323,144.9876
Newport,8 Crawford St,2,casa,650000,8.4,3015,1,1,149,62,1890,-37.8491,144.8903
North Melbourne,649 Queensberry St,2,casa,940000,2.3,3051,1,0,89,65,1890,-37.80337,144.94897
Brunswick East,5 Linden St,2,casa,1015000,4.5,3057,1,0,137,67,1890,-37.77384,144.97332
Albert Park,6 Brooke St,2,casa,980000,3.3,3206,1,0,79,68,1890,-37.8387,144.9519
South Yarra,3 Hyland St,2,casa,,3.3,3141,1,0,101,68,1890,-37.8456,144.9884
Carlton,83 Princes St,2,casa,720000,1.8,3053,1,1,117,71,1890,-37793,144.9728
Fitzroy North,181 Rae St,2,casa,937500,3.5,3068,1,0,100,72,1890,-37788,144.9791
Melbourne,17/180 Little Collins St,2,kitnet,,2.8,3000,1,1,,73,1890,-37.8139,144.9679
Fitzroy North,22 Coleman St,2,casa,,3.5,3068,1,0,116,73,1890,-37.7916,144.9811
Footscray,119 Droop St,2,casa,745000,6.4,3011,1,1,355,74,1890,-37.7931,144.8938
Yarraville,121 Simpson St,2,casa,,7,3013,1,0,133,75,1890,-37.8169,144.8877
Brunswick,13 Goodman St,2,casa,884000,5.2,3056,1,0,148,75,1890,-37.77305,144.95681
Flemington,121 Princes St,2,casa,1060000,4.4,3031,1,0,209,75,1890,-37.78464,144.92805
Fitzroy North,92 Scotchmer St,2,casa,1008000,3.5,3068,1,1,150,77,1890,-37.7833,144.9819
Richmond,276 Mary St,2,casa,,2.6,3121,1,0,151,77,1890,-37.82212,144.99554
Ascot Vale,8 Geddes St,2,casa,710000,5.9,3032,1,1,214,77,1890,-37.7776,144.9142
Seddon,195 Pilgrim St,2,casa,,6.6,3011,1,0,126,78,1890,-37.8042,144.8857
Ascot Vale,63 Kent St,2,casa,751000,5.9,3032,1,1,118,79,1890,-37.7807,144.9288
Collingwood,382 Wellington St,2,casa,855000,1.6,3066,1,0,130,80,1890,-37.7953,144.9882
Cremorne,18 Chapel St,2,casa,1015000,2.5,3121,1,1,131,80,1890,-37.8274,144.9967
Kew,73 Cobden St,2,casa,1326000,5.6,3101,1,2,405,80,1890,-37.8012,145.0361
Richmond,45 Westbank Tce,2,casa,1045000,2.6,3121,1,1,138,81,1890,-37.8218,145.0132
Carlton,34 Barkly St,2,casa,1170000,1.8,3053,1,1,144,81,1890,-37.7984,144.9738
North Melbourne,13/201 Abbotsford St,2,apartamento,755000,2.3,3051,1,1,1537,81,1890,-37797,    
Yarraville,41 Sussex St,3,casa,770000,7,3013,1,1,138,82,1890,-37.82,144891
Brunswick,10 Cliff St,1,casa,772000,5.2,3056,1,1,147,82,1890,-37.7643,144.9584
Albert Park,364 Montague St,2,casa,1562500,3.3,3206,1,0,141,83,1890,-37.8424,144.9562
Albert Park,91 Page St,3,casa,2150000,3.3,3206,1,1,163,85,1890,-37.84725,144.95499
Clifton Hill,119 Roseneath St,2,casa,1075000,3.4,3068,1,1,174,85,1890,-37.7928,144.9987
Footscray,3 Park St,4,casa,775000,6.4,3011,1,2,277,87,1890,-37.7901,144.8883
Brunswick,141 Gold St,2,casa,845500,5.2,3056,1,1,179,90,1890,-37.7742,144.9542
Carlton,27 Faraday St,2,casa,1117000,1.8,3053,1,0,128,92,1890,-37.7996,144.9737
Fitzroy North,35 Birkenhead St,2,casa,1290000,3.5,3068,1,0,136,92,1890,-37.7819,144.9824
Elwood,7 Moore St,2,casa,1210000,7.7,3184,1,0,163,92,1890,-37.8778,144.9904
South Yarra,26 Fawkner St,2,casa,1455000,3.3,3141,1,0,225,94,1890,-37.8421,144.9876
Clifton Hill,15 Dally St,2,casa,1250000,3.4,3068,1,0,158,95,1890,-37.79245,144.99949
Armadale,20 Rose St,2,casa,,6.3,3143,1,1,163,95,1890,-37.85098,145.01579
Flemington,11/300 Racecourse Rd,2,kitnet,603000,4.4,3031,1,1,,96,1890,-37.78803,144934
Moonee Ponds,19 Sussex St,2,casa,945000,6.9,3039,1,0,225,97,1890,-37.7639,144.9093
Abbotsford,16 William St,2,casa,1310000,2.5,3067,1,2,238,97,1890,-37809,144.9976
Seddon,14 Pole St,3,casa,970000,6.6,3011,1,0,137,98,1890,-37.8078,144.8972
Flemington,59 Victoria St,2,casa,730000,4.4,3031,1,1,140,98,1890,-37.7867,144.9342
Albert Park,65 Graham St,2,casa,1322500,3.3,3206,1,0,149,98,1890,-37.8443,144.9481
St Kilda,2/25 Acland St,2,apartamento,1077000,6.1,3182,1,1,455,98,1890,-37.86311,
Fitzroy,56 Westgarth St,3,casa,,1.6,3065,1,1,143,99,1890,-37.7967,144.98256
South Melbourne,35 Lyell St,3,casa,,2.1,3205,1,1,156,99,1890,-37.8364,144.9493
Clifton Hill,40 Myrtle St,2,casa,1290000,3.4,3068,1,0,164,99,1890,-37.7912,144.9967
Cremorne,66 Green St,3,casa,1300000,2.5,3121,1,1,326,100,1890,-37.8283,144.9946
Fitzroy,84 Kerr St,2,casa,1122000,1.6,3065,1,0,106,101,1890,-37.7968,144.9781
Coburg,16 Linda St,2,casa,953000,7.8,3058,1,1,170,101,1890,-37.7508,144.9608
Brunswick East,178 Weston St,2,casa,1080000,4.5,3057,1,0,193,101,1890,-37.7765,144.9751
Kensington,26 Hopetoun St,2,casa,1155000,4.2,3031,1,1,197,101,1890,-37.7918,144.9264
Northcote,8 Salisbury Gr,2,casa,,5.5,3070,1,0,210,101,1890,-37.7654,145.0026
Parkville,199 Park Dr,2,casa,1265000,2.6,3052,1,0,70,102,1890,-37.7931,144.9565
Burnley,154 Stawell St,3,casa,1435000,3.5,3121,1,0,182,102,1890,-37.8289,145.0089
Parkville,92 Fitzgibbon St,2,casa,1805000,2.6,3052,1,1,187,102,1890,-37.7939,144.9572
Northcote,6 Dally St,2,casa,1035000,5.5,3070,1,2,243,102,1890,-37.7653,145.0014
Hawthorn,24 College St,3,casa,1551000,4.6,3122,1,1,199,103,1890,-37.8172,145.0243
Richmond,14 Lesney St,2,casa,,2.6,3121,1,0,240,103,1890,-37.8269,144.9987
Brunswick,58 Cassels Rd,3,casa,860000,5.2,3056,1,1,184,104,1890,-37.7563,144.96
Brunswick,4 Frederick St,3,casa,1170000,5.2,3056,1,0,285,104,1890,-37.7634,144.9593
Fitzroy,291 George St,2,casa,1460000,1.6,3065,1,0,,105,1890,-37.8006,144.9814
Fitzroy,431 George St,3,casa,1250000,1.6,3065,1,1,113,105,1890,-37.7966,144.9821
Abbotsford,78 Yarra St,3,casa,1176500,2.5,3067,1,1,138,105,1890,-37.8021,144.9965
Northcote,63 Union St,3,casa,,5.5,3070,1,2,185,105,1890,-37.7788,144.9944
Brunswick,84 Stewart St,3,casa,1045000,5.2,3056,1,2,222,105,1890,-37.7642,144969
Box Hill,19 Kent Rd,3,casa,928000,13.1,3128,1,1,307,106,1890,-37.8247,145.1206
Clifton Hill,31 Fenwick St,2,casa,1450000,3.4,3068,1,0,156,107,1890,-37.7892,144.9999
Abbotsford,98 Charles St,2,casa,1636000,2.5,3067,1,2,256,107,1890,-37806,144.9954
Hawthorn East,14 Carlyle St,2,casa,,7.5,3123,1,0,273,107,1890,-37.8185,145.0578
Hawthorn,14 Malmsbury St,3,casa,1420000,4.6,3122,1,0,218,108,1890,-37.8214,145.0437
Northcote,43 Christmas St,2,casa,1286000,5.5,3070,1,1,245,108,1890,-37.7662,145.0096
Spotswood,13 Robb St,3,casa,831000,7.7,3015,1,0,353,109,1890,-37.8309,144889
Fitzroy North,191 Scotchmer St,3,casa,1300000,3.5,3068,1,1,203,110,1890,-37.7834,144.9862
Richmond,249 Church St,3,casa,,2.6,3121,1,1,216,110,1890,-37.8193,144.9993
Carlton North,636 Canning St,3,casa,,3.2,3054,1,0,252,110,1890,-37.7817,144.9759
Coburg,10 Shackell St,3,casa,784000,7.8,3058,1,1,286,110,1890,-37.7427,144952
Toorak,49 Canterbury Rd,3,casa,,4.6,3142,1,0,197,111,1890,-37.8462,145.0097
St Kilda,25 Fawkner St,2,casa,1440000,6.1,3182,1,2,194,112,1890,-37.85771,144.97742
Port Melbourne,178 Albert St,3,casa,,3.8,3207,1,0,169,116,1890,-37.83227,144.94246
Seddon,56 Hamilton St,3,casa,1145000,6.6,3011,1,1,350,116,1890,-37.8094,144.8869
North Melbourne,5 Carroll St,3,casa,,2.3,3051,1,1,146,117,1890,-37.7959,144.9455
Fitzroy North,102 Falconer St,3,casa,,3.5,3068,1,1,254,117,1890,-37.7838,144.99
Preston,192 Wood St,4,casa,870000,8.8,3072,1,2,400,117,1890,-37.7346,145.0164
Richmond,8 Malleson St,3,casa,1420000,2.6,3121,1,0,198,119,1890,-37.8225,145.0007
Richmond,249 Punt Rd,4,casa,950000,2.6,3121,1,0,254,124,1890,-37.8201,144.9898
Richmond,249 Punt Rd,4,casa,905000,2.6,3121,1,0,254,124,1890,-37.8201,144.9898
Kew,127 Wellington St,3,casa,,5.6,3101,1,1,162,125,1890,-37.8105,145.0429
Seddon,64 Pilgrim St,3,casa,880000,6.6,3011,1,0,216,125,1890,-37.8052,144.8941
Brunswick,5 MacKenzie St,3,casa,1222500,5.2,3056,1,0,331,126,1890,-37.7619,144959
Fitzroy North,569 Rae St,3,casa,,3.5,3068,1,0,185,127,1890,-37.7776,144.9809
Richmond,90 Bendigo St,3,casa,,2.6,3121,1,0,203,127,1890,-37.8264,145.0115
Hawthorn East,81 Roseberry St,3,casa,,7.5,3123,1,1,246,128,1890,-37.8267,145.0503
Preston,287 Tyler St,3,casa,1650000,8.8,3072,1,2,452,129,1890,-37.7307,145.0094
Albert Park,49 Page St,3,casa,2000000,3.3,3206,1,1,238,131,1890,-37.8461,144.9528
Port Melbourne,213 Stokes St,3,casa,1380000,3.8,3207,1,0,,134,1890,-37.8373,144.9397
Flemington,54 Princes St,3,casa,917000,4.4,3031,1,0,143,136,1890,-37.78679,144.93471
Northcote,160 Bent St,4,casa,1420000,5.5,3070,1,1,465,137,1890,-37.7662,144.9889
Carlton,130 Rathdowne St,4,casa,1616000,1.8,3053,1,0,152,139,1890,-37.7966,144.9709
Brunswick,152 Edward St,3,casa,,5.2,3056,1,1,338,143,1890,-37775,144.9701
Camberwell,21 Avenue Rd,3,casa,1905000,7.8,3124,1,2,400,145,1890,-37.8333,145.06157
Clifton Hill,16 Spensley St,4,casa,,3.4,3068,1,2,206,146,1890,-37.7884,144997
Seddon,18 William St,4,casa,1270000,6.6,3011,1,1,352,150,1890,-37.8059,144.8899
Fitzroy,31 Bell St,4,casa,1950000,1.6,3065,1,0,177,152,1890,-37.7999,144.9759
Elsternwick,275 Kooyong Rd,3,casa,1605000,8.5,3185,1,1,418,152,1890,-37.8831,145.0153
Northcote,39 Barry St,3,casa,1710000,5.5,3070,1,1,247,160,1890,-37.7798,144.9952
Brunswick,64 Hanover St,3,casa,1250000,5.2,3056,1,1,483,162,1890,-37.7602,144.9543
Port Melbourne,130 Nott St,3,casa,985000,3.8,3207,1,0,171,167,1890,-37.8385,144.9409
Port Melbourne,146 Dow St,5,casa,2350000,3.8,3207,1,2,350,173,1890,-37.8407,144.9424
Coburg,243 Moreland Rd,3,casa,1370000,7.8,3058,1,1,233,180,1890,-37.7549,144.9611
South Yarra,115 Osborne St,3,casa,,3.3,3141,1,2,317,180,1890,-37.8406,144.9912
Canterbury,16 Church St,4,casa,,9,3126,1,1,665,183,1890,-37.82717,145.08482
Ascot Vale,12 Mirams St,4,casa,890000,5.9,3032,1,1,300,185,1890,-37.7766,144.9143
Parkville,110 Gatehouse St,4,casa,1928000,2.6,3052,1,0,194,186,1890,-37.7944,144.9542
Brunswick East,94 Barkly St,4,casa,1815000,4.5,3057,1,1,233,204,1890,-37.7776,144.9727
Kingsville,309 Geelong Rd,2,casa,685000,7.8,3012,1,1,220,219,1890,-37.8068,144.8782
Canterbury,5 Margaret St,4,casa,2620000,9,3126,1,1,717,235,1890,-37.8266,145.0849
Footscray,75 MacPherson St,2,casa,885000,6.4,3011,1,0,267,99.5,1890,-37.79611,
Prahran,49 Clifton St,2,casa,765000,4.5,3181,1,0,98,,1890,-37.8501,144.9953
Fitzroy,46 Gore St,4,casa,,1.6,3065,1,1,196,,1890,-37.8072,144.9819
Carlton North,696 Rathdowne St,3,casa,,3.2,3054,1,0,217,,1890,-37.7809,144.9735
Hawthorn,23 William St,3,casa,1377000,4.6,3122,1,2,314,,1890,-37.8202,145.0404
Surrey Hills,16 Pembroke St,4,casa,1650000,11.2,3127,1,0,437,,1890,-37.8285,145.1079
Brunswick,17 Goodman St,2,casa,916000,5.2,3056,1,0,1328,,1890,-37773,144.9568
South Melbourne,48 Glover St,2,casa,1200000,2.1,3205,2,1,131,79,1890,-37839,144948
Caulfield South,30 Cedar St,2,casa,1001000,9.3,3162,2,1,255,85,1890,-37.8887,145.0207
South Melbourne,157 Napier St,3,casa,1600000,2.1,3205,2,1,88,93,1890,-37.8363,144.9628
Fitzroy,4 Garfield St,2,casa,,1.6,3065,2,0,89,93,1890,-37.8007,144975
Fitzroy,315 Young St,3,casa,,1.6,3065,2,0,93,93,1890,-37.7964,144.9798
Kew,19 May St,2,casa,,5.6,3101,2,0,221,101,1890,-37.8121,145.0437
Prahran,75 Chatsworth Rd,4,casa,,4.5,3181,2,2,336,104,1890,-37.8498,145.0068
