CD_ITEM,PESO_ITEM,GORDURA_ITEM,VISIBILIDADE_ITEM,TIPO_ITEM,MRP_ITEM,ID_OUTLET,ANO_ABERTURA_OUTLET,TAMANHO_OUTLET,LOCAL_OUTLET,TIPO_OUTLET,VENDAS_OUTLET
DRK35,8.365,Low Fat,0.071958197,Bebidas fortes,38.0506,OUT049,1999,Médio,Local 1,Tipo 1,796.9626
FDY21,15.1,Low Fat,0.17348130399999998,Snacks,194.511,OUT046,1997,Pequeno,Local 1,Tipo 1,4910.275
FDM20,10.0,Low Fat,0.0,Frutas e Verduras,246.9144,OUT018,2009,Médio,Local 3,Tipo 2,3185.1872
FDH19,19.35,Low Fat,0.033082215,Carnes,172.5738,OUT035,2004,Pequeno,Local 2,Tipo 1,4865.6664
NCI17,8.645,Low Fat,0.14342264300000002,Saúde e Higiene,95.84100000000001,OUT046,1997,Pequeno,Local 1,Tipo 1,2027.361
FDJ58,15.6,Normal,0.10529607199999999,Snacks,170.1764,OUT046,1997,Pequeno,Local 1,Tipo 1,3435.528
FDL12,15.85,Normal,0.121531501,Padaria,59.222,OUT013,1987,Grande,Local 3,Tipo 1,599.22
NCZ18,7.825,Low Fat,0.186357148,Itens para casa,254.3698,OUT049,1999,Médio,Local 1,Tipo 1,5580.7356
FDC29,8.39,Normal,0.024205661,Congelados,114.0176,OUT046,1997,Pequeno,Local 1,Tipo 1,2290.3520000000003
FDQ10,12.85,Low Fat,0.033230816,Snacks,172.3422,OUT049,1999,Médio,Local 1,Tipo 1,1207.0954
FDD58,7.76,Low Fat,0.05935224099999999,Snacks,101.87,OUT046,1997,Pequeno,Local 1,Tipo 1,1697.79
FDN04,11.8,Normal,0.014087057,Congelados,180.3344,OUT046,1997,Pequeno,Local 1,Tipo 1,1427.4752
FDV45,16.75,Low Fat,0.045230944,Snacks,187.9556,OUT018,2009,Médio,Local 3,Tipo 2,4693.89
FDZ55,6.055,Low Fat,0.025403897999999998,Frutas e Verduras,160.99200000000002,OUT035,2004,Pequeno,Local 2,Tipo 1,2716.4640000000004
FDN33,6.305,Normal,0.123115764,Snacks,95.6436,OUT046,1997,Pequeno,Local 1,Tipo 1,661.8052
FDN27,20.85,Low Fat,0.039624006,Carnes,117.2808,OUT049,1999,Médio,Local 1,Tipo 1,1523.3504
DRG27,8.895,Low Fat,0.10527411099999999,Laticínios,39.9138,OUT049,1999,Médio,Local 1,Tipo 1,690.4346
FDA44,19.7,Low Fat,0.053212652,Frutas e Verduras,57.893,OUT035,2004,Pequeno,Local 2,Tipo 1,622.523
NCR17,9.8,Low Fat,0.024378706,Saúde e Higiene,114.5492,OUT035,2004,Pequeno,Local 2,Tipo 1,1274.3412
FDF41,12.15,Low Fat,0.131383762,Congelados,246.046,OUT049,1999,Médio,Local 1,Tipo 1,1231.73
FDB56,8.75,Normal,0.07461309,Frutas e Verduras,187.4556,OUT035,2004,Pequeno,Local 2,Tipo 1,3755.112
FDB56,8.75,Normal,0.07462720099999999,Frutas e Verduras,187.8556,OUT046,1997,Pequeno,Local 1,Tipo 1,1314.2892
FDW57,8.31,Normal,0.11585722300000001,Snacks,179.1028,OUT049,1999,Médio,Local 1,Tipo 1,3896.2616
DRB48,16.75,Normal,0.024832806000000002,Refrigerantes,38.7822,OUT013,1987,Grande,Local 3,Tipo 1,667.7974
FDP09,19.75,Low Fat,0.034027909,Snacks,212.0902,OUT018,2009,Médio,Local 3,Tipo 2,3185.853
FDH14,17.1,Normal,0.046769599999999995,Enlatados,141.1838,OUT013,1987,Grande,Local 3,Tipo 1,2247.7408
FDA47,10.5,Normal,0.11657670199999999,Padaria,163.121,OUT013,1987,Grande,Local 3,Tipo 1,1794.3310000000001
DRK49,14.15,Low Fat,0.035913805,Refrigerantes,41.4138,OUT013,1987,Grande,Local 3,Tipo 1,812.2760000000001
FDD03,13.3,Low Fat,0.079806266,Laticínios,232.53,OUT046,1997,Pequeno,Local 1,Tipo 1,699.09
FDD17,7.5,Low Fat,0.032677677999999995,Congelados,239.0906,OUT049,1999,Médio,Local 1,Tipo 1,5942.265
FDZ46,7.485,Low Fat,0.06911065,Snacks,109.0228,OUT035,2004,Pequeno,Local 2,Tipo 1,2542.0244
FDY58,11.65,Low Fat,0.040081193,Snacks,227.0694,OUT018,2009,Médio,Local 3,Tipo 2,1141.847
FDJ38,8.6,Normal,0.040197932,Enlatados,190.153,OUT035,2004,Pequeno,Local 2,Tipo 1,3036.048
FDL40,17.7,Low Fat,0.01161096,Congelados,95.041,OUT035,2004,Pequeno,Local 2,Tipo 1,868.8689999999999
DRI49,14.15,Low Fat,0.183507295,Refrigerantes,82.4276,OUT046,1997,Pequeno,Local 1,Tipo 1,1137.1864
DRG23,8.88,Low Fat,0.08670898699999999,Bebidas fortes,151.7682,OUT013,1987,Grande,Local 3,Tipo 1,762.341
NCH54,13.5,Low Fat,0.07266912,Itens para casa,160.292,OUT046,1997,Pequeno,Local 1,Tipo 1,1438.128
FDG02,7.855,Low Fat,0.011307038,Enlatados,188.5188,OUT018,2009,Médio,Local 3,Tipo 2,952.0939999999999
NCO26,7.235,Low Fat,0.076855628,Itens para casa,116.0492,OUT046,1997,Pequeno,Local 1,Tipo 1,1969.4364
NCC31,8.02,Low Fat,0.019866705,Itens para casa,154.5972,OUT035,2004,Pequeno,Local 2,Tipo 1,1402.1748
NCC30,16.6,Low Fat,0.027622076000000002,Itens para casa,177.6344,OUT049,1999,Médio,Local 1,Tipo 1,2676.5159999999996
FDI16,14.0,Normal,0.0,Congelados,53.06399999999999,OUT035,2004,Pequeno,Local 2,Tipo 1,905.488
FDP16,18.6,Low Fat,0.039355947,Congelados,246.3802,OUT049,1999,Médio,Local 1,Tipo 1,7370.406
FDB11,16.0,Low Fat,0.060836524,Alimentos com amido,226.8404,OUT035,2004,Pequeno,Local 2,Tipo 1,6301.1312
NCB06,17.6,Low Fat,0.082316506,Saúde e Higiene,160.692,OUT035,2004,Pequeno,Local 2,Tipo 1,1597.92
FDA45,21.25,Low Fat,0.155350299,Snacks,178.237,OUT035,2004,Pequeno,Local 2,Tipo 1,529.311
NCO26,7.235,Low Fat,0.076841095,Itens para casa,117.5492,OUT035,2004,Pequeno,Local 2,Tipo 1,1969.4364
FDR28,13.85,Normal,0.026001976,Congelados,161.52100000000002,OUT018,2009,Médio,Local 3,Tipo 2,1794.3310000000001
FDI04,13.65,Normal,0.073209447,Congelados,197.6426,OUT018,2009,Médio,Local 3,Tipo 2,2768.3964
FDX20,7.365,Low Fat,0.042560252,Frutas e Verduras,226.172,OUT046,1997,Pequeno,Local 1,Tipo 1,3169.208
NCI18,18.35,Low Fat,0.014081156000000001,Itens para casa,223.5746,OUT018,2009,Médio,Local 3,Tipo 2,3589.9936
FDB36,5.465,Normal,0.0,Padaria,132.5626,OUT018,2009,Médio,Local 3,Tipo 2,262.3252
FDQ28,14.0,Normal,0.06037677599999999,Congelados,154.5656,OUT013,1987,Grande,Local 3,Tipo 1,2471.4496
FDM22,14.0,Normal,0.04192285,Snacks,54.763999999999996,OUT013,1987,Grande,Local 3,Tipo 1,1331.6
FDV25,5.905,Low Fat,0.045838211,Enlatados,222.5456,OUT018,2009,Médio,Local 3,Tipo 2,3315.684
DRF49,7.27,Low Fat,0.071077939,Refrigerantes,114.2518,OUT046,1997,Pequeno,Local 1,Tipo 1,2618.5914
FDW51,6.155,Normal,0.09465987099999999,Carnes,214.55599999999998,OUT046,1997,Pequeno,Local 1,Tipo 1,2769.728
FDL50,12.15,Normal,0.042485444000000004,Enlatados,125.0046,OUT018,2009,Médio,Local 3,Tipo 2,1743.0644
FDW11,12.6,Low Fat,0.048980800000000005,Pães,61.9194,OUT018,2009,Médio,Local 3,Tipo 2,619.194
NCM43,14.5,Low Fat,0.019471688,Outros,164.821,OUT035,2004,Pequeno,Local 2,Tipo 1,2120.573
FDM15,11.8,Normal,0.057373797000000004,Carnes,151.4366,OUT013,1987,Grande,Local 3,Tipo 1,1360.2294
FDS31,13.1,Normal,0.044155597000000005,Frutas e Verduras,178.8318,OUT013,1987,Grande,Local 3,Tipo 1,3969.4996
FDU50,5.75,Normal,0.075107656,Laticínios,112.8176,OUT013,1987,Grande,Local 3,Tipo 1,1374.2112
FDK58,11.35,Normal,0.045165795999999994,Snacks,100.0016,OUT018,2009,Médio,Local 3,Tipo 2,1012.0160000000001
NCW29,14.0,Low Fat,0.028907832,Saúde e Higiene,130.431,OUT049,1999,Médio,Local 1,Tipo 1,778.9860000000001
NCB19,6.525,Low Fat,0.09043609400000001,Itens para casa,85.0882,OUT049,1999,Médio,Local 1,Tipo 1,2233.0932
FDV15,10.3,Low Fat,0.146399712,Carnes,103.9648,OUT049,1999,Médio,Local 1,Tipo 1,1661.8368
FDL58,5.78,Normal,0.07426435599999999,Snacks,264.7568,OUT049,1999,Médio,Local 1,Tipo 1,4745.8224
FDT43,16.35,Low Fat,0.020631654,Frutas e Verduras,50.1324,OUT018,2009,Médio,Local 3,Tipo 2,467.3916
FDT20,10.5,Low Fat,0.041395445,Frutas e Verduras,37.6164,OUT046,1997,Pequeno,Local 1,Tipo 1,540.6296
FDB41,19.0,Normal,0.097313129,Congelados,48.0718,OUT046,1997,Pequeno,Local 1,Tipo 1,992.7078
NCN55,14.6,Low Fat,0.059582996,Outros,238.8538,OUT049,1999,Médio,Local 1,Tipo 1,6008.845
FDE36,5.26,Normal,0.041764487,Padaria,161.8868,OUT035,2004,Pequeno,Local 2,Tipo 1,3275.736
FDI19,15.1,Low Fat,0.052339069,Carnes,242.7512,OUT046,1997,Pequeno,Local 1,Tipo 1,4119.9704
FDG52,13.65,Low Fat,0.06573288299999999,Congelados,45.7402,OUT049,1999,Médio,Local 1,Tipo 1,780.9834
DRK12,9.5,Low Fat,0.041878397000000005,Refrigerantes,32.99,OUT035,2004,Pequeno,Local 2,Tipo 1,133.16
DRC27,13.8,Low Fat,0.058091482,Laticínios,245.1802,OUT035,2004,Pequeno,Local 2,Tipo 1,5650.6446
FDX15,17.2,Low Fat,0.15616879,Carnes,160.6578,OUT013,1987,Grande,Local 3,Tipo 1,3690.5294
FDA39,6.32,Low Fat,0.0,Carnes,40.2822,OUT035,2004,Pequeno,Local 2,Tipo 1,1139.1838
FDY24,4.88,Normal,0.133700752,Padaria,52.9298,OUT049,1999,Médio,Local 1,Tipo 1,1995.4026
FDH28,15.85,Normal,0.11003099699999999,Congelados,37.2506,OUT046,1997,Pequeno,Local 1,Tipo 1,265.6542
DRJ13,12.65,Low Fat,0.062837968,Refrigerantes,161.5578,OUT013,1987,Grande,Local 3,Tipo 1,2406.867
FDW20,20.75,Low Fat,0.024129332000000003,Frutas e Verduras,124.17299999999999,OUT013,1987,Grande,Local 3,Tipo 1,2956.152
FDS49,9.0,Low Fat,0.0,Enlatados,79.7644,OUT035,2004,Pequeno,Local 2,Tipo 1,1649.8524
FDF14,7.55,Low Fat,0.027164679,Enlatados,152.334,OUT035,2004,Pequeno,Local 2,Tipo 1,2603.278
NCD06,13.0,Low Fat,0.099325278,Itens para casa,45.406000000000006,OUT046,1997,Pequeno,Local 1,Tipo 1,605.878
FDB35,12.3,Normal,0.064565202,Alimentos com amido,92.9804,OUT013,1987,Grande,Local 3,Tipo 1,1929.4884
NCU41,18.85,Low Fat,0.052044976,Saúde e Higiene,192.1846,OUT035,2004,Pequeno,Local 2,Tipo 1,3248.4382
DRJ51,14.1,Low Fat,0.08797726199999999,Laticínios,229.0668,OUT035,2004,Pequeno,Local 2,Tipo 1,3225.1352
FDK21,7.905,Low Fat,0.010010425,Snacks,249.0408,OUT035,2004,Pequeno,Local 2,Tipo 1,3755.112
FDY25,12.0,Low Fat,0.033946163,Enlatados,179.3976,OUT013,1987,Grande,Local 3,Tipo 1,3440.8544
FDU44,12.15,Normal,0.058414678,Frutas e Verduras,163.4552,OUT035,2004,Pequeno,Local 2,Tipo 1,974.7312
FDL43,10.1,Low Fat,0.027106459,Carnes,75.367,OUT049,1999,Médio,Local 1,Tipo 1,535.969
FDL20,17.1,Low Fat,0.128937661,Frutas e Verduras,112.3886,OUT018,2009,Médio,Local 3,Tipo 2,1779.0176
FDV32,7.785,Low Fat,0.088846306,Frutas e Verduras,61.451,OUT049,1999,Médio,Local 1,Tipo 1,759.012
FDJ34,11.8,Normal,0.09357779,Snacks,125.9704,OUT013,1987,Grande,Local 3,Tipo 1,1877.556
NCI17,8.645,Low Fat,0.143303291,Saúde e Higiene,96.34100000000001,OUT013,1987,Grande,Local 3,Tipo 1,193.082
FDJ55,12.8,Normal,0.023511371,Carnes,225.9404,OUT013,1987,Grande,Local 3,Tipo 1,4950.8888
DRK01,7.63,Low Fat,0.06105276,Refrigerantes,95.4436,OUT035,2004,Pequeno,Local 2,Tipo 1,1418.154
NCR54,16.35,Low Fat,0.090486828,Itens para casa,195.21099999999998,OUT013,1987,Grande,Local 3,Tipo 1,2553.343
FDG29,17.6,Low Fat,0.056245075,Congelados,43.3454,OUT013,1987,Grande,Local 3,Tipo 1,1006.6896
FDG24,7.975,Low Fat,0.014618973,Padaria,85.225,OUT013,1987,Grande,Local 3,Tipo 1,1081.925
FDM28,15.7,Low Fat,0.045166237000000005,Congelados,178.666,OUT013,1987,Grande,Local 3,Tipo 1,2516.724
FDW04,8.985,Normal,0.057827101,Congelados,128.83100000000002,OUT046,1997,Pequeno,Local 1,Tipo 1,1428.141
FDS26,20.35,Low Fat,0.089394766,Laticínios,260.1594,OUT013,1987,Grande,Local 3,Tipo 1,2093.2752
FDQ56,6.59,Low Fat,0.10550944,Frutas e Verduras,85.6908,OUT013,1987,Grande,Local 3,Tipo 1,1929.4884
FDK51,19.85,Low Fat,0.005234153,Laticínios,264.0884,OUT035,2004,Pequeno,Local 2,Tipo 1,5829.7448
FDL22,16.85,Low Fat,0.036390174,Snacks,91.4488,OUT046,1997,Pequeno,Local 1,Tipo 1,2082.6224
FDY55,16.75,Low Fat,0.081252534,Frutas e Verduras,256.4988,OUT013,1987,Grande,Local 3,Tipo 1,7452.9652
FDZ32,7.785,Normal,0.038288087,Frutas e Verduras,103.1964,OUT018,2009,Médio,Local 3,Tipo 2,736.3748
NCZ18,7.825,Low Fat,0.186032678,Itens para casa,253.0698,OUT035,2004,Pequeno,Local 2,Tipo 1,6088.0752
FDT39,6.26,Normal,0.009866049,Carnes,151.1366,OUT035,2004,Pequeno,Local 2,Tipo 1,2267.049
NCD06,13.0,Low Fat,0.099729888,Itens para casa,46.306000000000004,OUT018,2009,Médio,Local 3,Tipo 2,559.2719999999999
FDB57,20.25,Normal,0.018801549,Frutas e Verduras,222.1772,OUT035,2004,Pequeno,Local 2,Tipo 1,5559.43
NCT54,8.695,Low Fat,0.11972145099999999,Itens para casa,95.5094,OUT049,1999,Médio,Local 1,Tipo 1,1237.7222
FDH27,7.075,Low Fat,0.05858462,Laticínios,142.7128,OUT018,2009,Médio,Local 3,Tipo 2,1869.5664
FDY59,8.195,Low Fat,0.031452265,Padaria,94.3462,OUT049,1999,Médio,Local 1,Tipo 1,925.462
FDK36,7.09,Low Fat,0.00721395,Padaria,47.9034,OUT035,2004,Pequeno,Local 2,Tipo 1,583.2408
NCM31,6.095,Low Fat,0.081196619,Outros,141.4154,OUT046,1997,Pequeno,Local 1,Tipo 1,1418.154
FDU36,6.15,Low Fat,0.04627095,Padaria,99.3384,OUT046,1997,Pequeno,Local 1,Tipo 1,2364.9216
NCQ54,17.7,Low Fat,0.012540003000000001,Itens para casa,167.0474,OUT035,2004,Pequeno,Local 2,Tipo 1,5895.659000000001
FDO23,17.85,Low Fat,0.147023834,Pães,93.7436,OUT018,2009,Médio,Local 3,Tipo 2,1134.5232
FDR04,7.075,Low Fat,0.0,Congelados,98.0068,OUT018,2009,Médio,Local 3,Tipo 2,874.8612
FDX23,6.445,Low Fat,0.029691762000000003,Padaria,92.6436,OUT046,1997,Pequeno,Local 1,Tipo 1,1039.9796
FDX19,19.1,Low Fat,0.09671552300000001,Frutas e Verduras,235.0958,OUT035,2004,Pequeno,Local 2,Tipo 1,3038.0454
FDD40,20.25,Normal,0.014790558999999998,Laticínios,193.6162,OUT035,2004,Pequeno,Local 2,Tipo 1,3848.324
FDA01,15.0,Normal,0.054378253,Enlatados,59.1904,OUT046,1997,Pequeno,Local 1,Tipo 1,527.3136
FDS33,6.67,Normal,0.123428594,Snacks,89.1514,OUT046,1997,Pequeno,Local 1,Tipo 1,2390.8878
FDB29,16.7,Normal,0.052368060999999994,Congelados,112.7176,OUT013,1987,Grande,Local 3,Tipo 1,801.6232
FDX36,9.695,Normal,0.12848269,Padaria,223.9404,OUT049,1999,Médio,Local 1,Tipo 1,4950.8888
FDB45,20.85,Low Fat,0.021362955,Frutas e Verduras,103.2306,OUT049,1999,Médio,Local 1,Tipo 1,2404.2038
FDV51,16.35,Low Fat,0.032511818,Carnes,165.0842,OUT013,1987,Grande,Local 3,Tipo 1,994.7052
DRH39,20.7,Low Fat,0.09261307,Laticínios,76.367,OUT013,1987,Grande,Local 3,Tipo 1,306.268
NCO43,5.5,Low Fat,0.04709821,Outros,101.3016,OUT046,1997,Pequeno,Local 1,Tipo 1,3339.6528
FDR24,17.35,Normal,0.062799379,Padaria,88.18299999999999,OUT013,1987,Grande,Local 3,Tipo 1,539.298
NCY18,7.285,Low Fat,0.031125708999999998,Itens para casa,174.3054,OUT013,1987,Grande,Local 3,Tipo 1,4377.635
DRI37,15.85,Low Fat,0.107765165,Refrigerantes,59.5904,OUT049,1999,Médio,Local 1,Tipo 1,703.0848
FDL27,6.17,Low Fat,0.010647476999999999,Carnes,66.3826,OUT049,1999,Médio,Local 1,Tipo 1,1937.4779999999998
NCO30,19.5,Low Fat,0.015749341,Itens para casa,182.2608,OUT049,1999,Médio,Local 1,Tipo 1,3307.6944
NCB07,19.2,Low Fat,0.077628053,Itens para casa,197.611,OUT049,1999,Médio,Local 1,Tipo 1,3142.5759999999996
FDX25,16.7,Low Fat,0.0,Enlatados,181.2292,OUT018,2009,Médio,Local 3,Tipo 2,2554.0088
FDP59,20.85,Normal,0.056695731,Pães,104.0648,OUT018,2009,Médio,Local 3,Tipo 2,1869.5664
FDT27,11.395,Normal,0.06952926200000001,Carnes,233.1616,OUT013,1987,Grande,Local 3,Tipo 1,6093.4016
DRI01,7.97,Low Fat,0.034452949,Refrigerantes,174.0422,OUT046,1997,Pequeno,Local 1,Tipo 1,2586.633
FDU09,7.71,Normal,0.06670068,Snacks,55.2956,OUT049,1999,Médio,Local 1,Tipo 1,1255.6988
FDH26,19.25,Normal,0.034699737,Enlatados,141.7496,OUT046,1997,Pequeno,Local 1,Tipo 1,4093.3384
FDH27,7.075,Low Fat,0.058346939,Laticínios,142.2128,OUT046,1997,Pequeno,Local 1,Tipo 1,3163.8816
FDH40,11.6,Normal,0.07892957099999999,Congelados,79.9276,OUT046,1997,Pequeno,Local 1,Tipo 1,1137.1864
DRN47,12.1,Low Fat,0.016895293000000002,Bebidas fortes,178.56599999999997,OUT018,2009,Médio,Local 3,Tipo 2,898.83
NCO17,10.0,Low Fat,0.073379745,Saúde e Higiene,118.244,OUT046,1997,Pequeno,Local 1,Tipo 1,2756.4120000000003
FDT22,10.395,Low Fat,0.11227149800000001,Snacks,58.222,OUT049,1999,Médio,Local 1,Tipo 1,659.1419999999999
FDG45,8.1,Low Fat,0.127929521,Frutas e Verduras,211.4902,OUT013,1987,Grande,Local 3,Tipo 1,3610.6334
FDD44,8.05,Normal,0.07838564,Frutas e Verduras,256.4646,OUT035,2004,Pequeno,Local 2,Tipo 1,5153.292
FDL51,20.7,Normal,0.047684831,Laticínios,212.5876,OUT018,2009,Médio,Local 3,Tipo 2,1286.3256
FDX09,9.0,Low Fat,0.065236932,Snacks,176.437,OUT035,2004,Pequeno,Local 2,Tipo 1,7763.228
FDO51,6.785,Normal,0.041947547,Carnes,41.2112,OUT013,1987,Grande,Local 3,Tipo 1,809.6128
FDW49,19.5,Low Fat,0.08288849599999999,Enlatados,178.6002,OUT018,2009,Médio,Local 3,Tipo 2,1253.7014
FDB27,7.575,Low Fat,0.055390120999999994,Laticínios,195.2768,OUT046,1997,Pequeno,Local 1,Tipo 1,5715.2272
FDF45,18.2,Normal,0.012194556,Frutas e Verduras,57.7904,OUT013,1987,Grande,Local 3,Tipo 1,1464.76
FDV02,16.75,Low Fat,0.060495243,Laticínios,169.8106,OUT013,1987,Grande,Local 3,Tipo 1,3251.1014
FDY28,7.47,Normal,0.0,Congelados,214.3218,OUT035,2004,Pequeno,Local 2,Tipo 1,4274.436
FDP51,13.85,Normal,0.085622362,Carnes,119.4124,OUT018,2009,Médio,Local 3,Tipo 2,2251.7356
FDR44,6.11,Normal,0.102920886,Frutas e Verduras,130.4968,OUT046,1997,Pequeno,Local 1,Tipo 1,3523.4136
FDB34,15.25,Low Fat,0.026604781,Snacks,86.2198,OUT035,2004,Pequeno,Local 2,Tipo 1,610.5386
FDC50,15.85,Low Fat,0.0,Enlatados,96.4094,OUT035,2004,Pequeno,Local 2,Tipo 1,1237.7222
DRE49,20.75,Low Fat,0.021250002,Refrigerantes,150.5024,OUT046,1997,Pequeno,Local 1,Tipo 1,2580.6408
FDM40,10.195,Low Fat,0.159936948,Congelados,143.2154,OUT046,1997,Pequeno,Local 1,Tipo 1,2552.6772
FDW07,18.0,Normal,0.142688846,Frutas e Verduras,88.5514,OUT046,1997,Pequeno,Local 1,Tipo 1,796.9626
FDQ56,6.59,Low Fat,0.105761491,Frutas e Verduras,84.8908,OUT049,1999,Médio,Local 1,Tipo 1,1677.816
FDN58,13.8,Normal,0.056960814000000005,Snacks,230.0984,OUT049,1999,Médio,Local 1,Tipo 1,3707.1744
FDG35,21.2,Normal,0.00704098,Alimentos com amido,173.5738,OUT046,1997,Pequeno,Local 1,Tipo 1,2954.1546
FDY34,10.5,Normal,0.011026593999999999,Snacks,166.4842,OUT018,2009,Médio,Local 3,Tipo 2,2652.5472
FDT59,13.65,Low Fat,0.015908423999999997,Pães,231.1668,OUT035,2004,Pequeno,Local 2,Tipo 1,6911.004
NCX41,19.0,Low Fat,0.017719277,Saúde e Higiene,211.0244,OUT046,1997,Pequeno,Local 1,Tipo 1,3811.0392
FDF22,6.865,Low Fat,0.056919038,Snacks,212.8218,OUT049,1999,Médio,Local 1,Tipo 1,5770.4886
FDM60,10.8,Normal,0.048143292000000004,Padaria,40.2138,OUT046,1997,Pequeno,Local 1,Tipo 1,690.4346
FDR02,16.7,Low Fat,0.022047313,Laticínios,110.2886,OUT013,1987,Grande,Local 3,Tipo 1,1890.2062
FDS48,15.15,Low Fat,0.027779254,Padaria,150.1708,OUT046,1997,Pequeno,Local 1,Tipo 1,1504.7079999999999
FDZ38,17.6,Low Fat,0.008033611,Laticínios,174.2422,OUT018,2009,Médio,Local 3,Tipo 2,4311.055
FDH19,19.35,Low Fat,0.033088472,Carnes,175.4738,OUT046,1997,Pequeno,Local 1,Tipo 1,521.3214
NCB55,15.7,Low Fat,0.160663021,Itens para casa,59.4562,OUT046,1997,Pequeno,Local 1,Tipo 1,829.5868
