distrito,latitude,longitude,tipo_de_quarto,preco,numero_minimo_noites,numero_comentarios,numero_de_reservas,disponibilidade_anual
Brooklyn,40.683170000000004,-73.94700999999999,Private room,70,4,18,4,189
Brooklyn,40.6761,-73.9529,Private room,110,6,50,1,0
Brooklyn,40.67586,-73.95155,Private room,60,2,227,2,287
Manhattan,40.71702,-73.99811,Entire home/apt,90,14,1,1,14
Manhattan,40.723209999999995,-73.98156999999999,Private room,68,2,203,2,86
Manhattan,40.77956,-73.98098,Entire home/apt,115,2,210,1,261
Brooklyn,40.682759999999995,-73.95264,Private room,75,5,64,1,68
Brooklyn,40.71368,-73.9626,Private room,60,3,0,1,0
Manhattan,40.72956,-73.98158000000001,Entire home/apt,129,7,5,1,231
Brooklyn,40.71069,-73.95175,Entire home/apt,130,10,49,1,152
Brooklyn,40.70863,-73.94641,Entire home/apt,95,4,132,1,46
Manhattan,40.82888,-73.94306999999999,Private room,75,3,20,1,364
Brooklyn,40.673190000000005,-73.97323,Entire home/apt,175,2,11,1,246
Brooklyn,40.67846,-73.99443000000001,Entire home/apt,190,3,51,1,288
Brooklyn,40.6715,-73.94808,Private room,49,21,15,5,331
Manhattan,40.72681,-73.98534000000001,Entire home/apt,212,3,67,1,51
Manhattan,40.71904,-73.99391999999999,Private room,95,1,109,3,364
Brooklyn,40.71031,-73.9583,Entire home/apt,140,2,9,1,254
Manhattan,40.81322,-73.95306,Entire home/apt,135,6,187,1,189
Brooklyn,40.67732,-73.98225,Entire home/apt,150,2,214,2,263
Brooklyn,40.68076,-73.9896,Entire home/apt,190,3,69,2,258
Manhattan,40.79603,-73.94903000000001,Entire home/apt,124,28,22,1,103
Brooklyn,40.71492,-73.96282,Entire home/apt,135,30,56,1,42
Manhattan,40.80393,-73.95838,Private room,122,3,93,1,246
Manhattan,40.80082,-73.9652,Private room,109,1,104,2,364
Manhattan,40.82976,-73.94866999999999,Private room,85,30,64,1,318
Brooklyn,40.683,-73.91981,Entire home/apt,145,3,127,2,72
Manhattan,40.78971,-73.9729,Entire home/apt,195,11,30,1,249
Brooklyn,40.67817,-73.99495,Entire home/apt,250,2,106,3,272
Brooklyn,40.731190000000005,-73.95578,Private room,125,3,6,1,325
Manhattan,40.719429999999996,-73.99627,Entire home/apt,575,2,191,1,298
Manhattan,40.78,-73.98249,Entire home/apt,150,30,48,1,35
Brooklyn,40.70514,-73.91922,Private room,70,5,47,1,203
Manhattan,40.867129999999996,-73.92811,Private room,90,2,120,1,132
Manhattan,40.73198,-73.98881,Private room,65,3,52,1,5
Manhattan,40.72542,-73.97986,Entire home/apt,500,2,48,4,297
Manhattan,40.83494,-73.93869000000001,Entire home/apt,250,3,32,2,276
Manhattan,40.716590000000004,-73.98945,Entire home/apt,125,25,43,1,102
Manhattan,40.729659999999996,-74.00243,Entire home/apt,200,30,39,1,251
Brooklyn,40.72898,-73.95551999999999,Entire home/apt,229,1,50,1,188
Bronx,40.87207,-73.90193000000001,Entire home/apt,90,30,4,2,346
Manhattan,40.77728,-73.97818000000001,Entire home/apt,110,13,38,1,0
Brooklyn,40.726459999999996,-73.95340999999999,Private room,59,3,29,1,15
Brooklyn,40.71015,-73.96101,Entire home/apt,195,4,59,1,71
Brooklyn,40.71903,-73.9597,Entire home/apt,169,1,68,2,215
Manhattan,40.80892,-73.93985,Entire home/apt,113,14,26,3,253
Manhattan,40.80276,-73.9567,Entire home/apt,250,14,31,1,78
Queens,40.77635,-73.93426,Entire home/apt,115,2,198,1,257
Brooklyn,40.72488,-73.95018,Private room,55,2,1,1,0
Brooklyn,40.71398,-73.95763000000001,Private room,69,2,220,2,8
Manhattan,40.718759999999996,-73.98394,Entire home/apt,150,3,286,1,191
Brooklyn,40.66552,-73.99019,Entire home/apt,169,2,398,3,182
Brooklyn,40.73749,-73.95291999999999,Private room,179,3,36,28,79
Manhattan,40.76248,-73.9913,Private room,150,3,36,1,49
Brooklyn,40.68674,-73.98876,Entire home/apt,135,4,6,1,0
Brooklyn,40.6848,-73.96219,Entire home/apt,350,6,14,1,156
Brooklyn,40.70516,-73.95455,Private room,120,14,76,6,343
Manhattan,40.723290000000006,-73.98486,Private room,71,2,182,1,200
Brooklyn,40.737759999999994,-73.95326999999999,Private room,349,3,8,28,60
Brooklyn,40.73738,-73.95482,Private room,349,3,7,28,60
Brooklyn,40.67542,-73.98142,Entire home/apt,165,30,34,2,189
Brooklyn,40.73842,-73.95312,Private room,249,3,2,28,60
Brooklyn,40.6926,-73.99831999999999,Private room,100,3,66,2,0
Brooklyn,40.69441,-73.99771,Entire home/apt,200,3,80,2,106
Manhattan,40.72399,-73.98374,Entire home/apt,169,4,240,1,276
Brooklyn,40.6824,-73.94615,Entire home/apt,185,3,46,1,248
Brooklyn,40.68949,-73.91708,Entire home/apt,65,2,228,1,194
Brooklyn,40.688190000000006,-73.97258000000001,Entire home/apt,130,35,5,1,135
Brooklyn,40.7205,-73.96015,Entire home/apt,199,30,8,1,30
Manhattan,40.724509999999995,-73.98094,Entire home/apt,225,2,33,1,0
Brooklyn,40.73813,-73.95394,Private room,179,3,13,28,81
Brooklyn,40.675909999999995,-73.94715,Entire home/apt,150,5,5,1,0
Manhattan,40.728429999999996,-73.98895,Entire home/apt,139,1,388,1,142
Manhattan,40.712709999999994,-73.99776,Private room,95,3,223,2,60
Brooklyn,40.66966,-73.94735,Entire home/apt,79,15,11,5,179
Manhattan,40.71965,-73.98765999999999,Entire home/apt,150,2,151,2,52
Brooklyn,40.68613,-73.96536,Entire home/apt,650,5,0,3,365
Brooklyn,40.680479999999996,-73.94911,Entire home/apt,90,3,218,4,324
Brooklyn,40.68314,-73.93963000000001,Entire home/apt,120,2,75,2,237
Queens,40.759609999999995,-73.91117,Private room,80,1,42,2,365
Brooklyn,40.67473,-73.94494,Entire home/apt,100,90,0,1,365
Brooklyn,40.69305,-73.93185,Entire home/apt,175,2,370,1,204
Brooklyn,40.67174,-73.95663,Entire home/apt,120,5,104,1,272
Brooklyn,40.71055,-73.95098,Entire home/apt,140,7,13,1,0
Brooklyn,40.69465,-73.95458,Entire home/apt,200,5,4,1,9
Brooklyn,40.684129999999996,-73.96542,Private room,165,4,11,3,365
Manhattan,40.73877,-73.97707,Entire home/apt,125,4,1,3,181
Manhattan,40.74893,-73.99544,Entire home/apt,130,30,19,1,189
Manhattan,40.794059999999995,-73.94102,Shared room,65,7,131,2,0
Brooklyn,40.68795,-73.97332,Entire home/apt,123,30,15,1,189
Manhattan,40.85295,-73.93361,Private room,67,2,136,1,296
Queens,40.72413,-73.76133,Private room,50,1,43,1,88
Brooklyn,40.66918,-73.99186999999999,Entire home/apt,130,7,98,1,35
Brooklyn,40.71125,-73.95613,Private room,100,3,31,1,0
Manhattan,40.785579999999996,-73.9696,Entire home/apt,212,21,45,1,35
Brooklyn,40.71577,-73.96053,Entire home/apt,190,3,124,1,359
Brooklyn,40.738609999999994,-73.95485,Private room,599,3,9,28,60
Manhattan,40.725770000000004,-73.98745,Entire home/apt,249,5,166,2,365
Queens,40.58615,-73.81245,Private room,70,27,13,1,335
Brooklyn,40.67086,-73.94872,Entire home/apt,100,30,15,5,282
Manhattan,40.827729999999995,-73.95231,Private room,60,3,380,2,247
Brooklyn,40.68505,-73.95684,Entire home/apt,135,2,86,1,102
Brooklyn,40.72911,-73.95493,Entire home/apt,175,3,248,3,274
Manhattan,40.77944,-73.98567,Entire home/apt,120,5,49,1,201
Manhattan,40.74503,-73.98876,Entire home/apt,169,18,54,1,98
Brooklyn,40.67539,-73.96093,Entire home/apt,165,7,3,1,157
Manhattan,40.8054,-73.95189,Private room,90,1,1,1,0
Manhattan,40.784909999999996,-73.9508,Entire home/apt,225,2,56,1,312
Brooklyn,40.69088,-73.97306999999999,Private room,95,2,163,2,331
Brooklyn,40.67555,-73.95057,Private room,55,2,247,2,275
Manhattan,40.75835,-73.99193000000001,Private room,85,10,116,1,174
Brooklyn,40.66527,-73.9886,Entire home/apt,199,14,27,2,223
Manhattan,40.71895,-73.99434000000001,Entire home/apt,211,1,52,3,361
Manhattan,40.755790000000005,-73.96699,Entire home/apt,145,6,39,1,0
Manhattan,40.82399,-73.95328,Private room,65,14,35,1,283
Manhattan,40.818220000000004,-73.94095,Entire home/apt,99,1,320,1,220
Queens,40.764340000000004,-73.92132,Entire home/apt,110,4,30,1,363
Brooklyn,40.67705,-73.94925,Entire home/apt,80,3,225,4,315
Brooklyn,40.69263,-73.99438,Entire home/apt,150,30,95,1,281
Brooklyn,40.68448,-73.92747,Entire home/apt,110,4,70,1,283
Manhattan,40.74412,-74.00208,Private room,290,2,35,1,20
Manhattan,40.73067,-73.98702,Private room,87,2,0,1,0
Brooklyn,40.70665,-73.94060999999999,Entire home/apt,190,4,50,1,331
Brooklyn,40.72063,-73.95952,Entire home/apt,200,2,29,1,36
Brooklyn,40.67644,-73.98082,Entire home/apt,165,2,23,2,7
Manhattan,40.804809999999996,-73.94794,Entire home/apt,110,2,142,2,301
Manhattan,40.72533,-73.99143000000001,Entire home/apt,395,2,70,1,170
Brooklyn,40.68569,-73.93038,Private room,99,2,38,2,307
Brooklyn,40.64302,-73.97255,Private room,39,1,82,2,365
