bairro,endereco,quartos,tipo,preco,distancia_aeroporto,cep,banheiros,vagas,area_terreno,area_construida,ano_construcao,latitude,longitude
Kew,17 Gladstone St,3,casa,1410000.0,5.6,3101.0,1,2,304.0,127.0,1885.0,-37.8023,145.0404
Malvern East,558 Waverley Rd,3,casa,1500000.0,11.2,3145.0,1,2,888.0,165.0,1886.0,-37.8799,145.0738
Kensington,14 Altona St,2,apartamento,812000.0,4.2,3031.0,1,0,132.0,79.0,1887.0,-37.7989,144.9275
Ascot Vale,75 Maribyrnong Rd,6,casa,2250000.0,5.9,3032.0,3,2,1012.0,435.0,1887.0,-37.77214,144.91838
Ascot Vale,75 Maribyrnong Rd,6,casa,2425000.0,5.9,3032.0,3,2,1014.0,435.0,1887.0,-37.7721,144.9184
Armadale,28 Cambridge St,3,casa,1870000.0,6.3,3143.0,1,1,217.0,116.0,1888.0,-37.8592,145.0182
Armadale,7 Llaneast St,3,casa,1939000.0,6.3,3143.0,2,2,296.0,150.0,1889.0,-37.8614,145.0274
Newport,8 Crawford St,2,casa,650000.0,8.4,3015.0,1,1,149.0,62.0,1890.0,-37.8491,144.8903
North Melbourne,649 Queensberry St,2,casa,940000.0,2.3,3051.0,1,0,89.0,65.0,1890.0,-37.80337,144.94897
Brunswick East,5 Linden St,2,casa,1015000.0,4.5,3057.0,1,0,137.0,67.0,1890.0,-37.77384,144.97332
Albert Park,6 Brooke St,2,casa,980000.0,3.3,3206.0,1,0,79.0,68.0,1890.0,-37.8387,144.9519
Footscray,119 Droop St,2,casa,745000.0,6.4,3011.0,1,1,355.0,74.0,1890.0,-37.7931,144.8938
Brunswick,13 Goodman St,2,casa,884000.0,5.2,3056.0,1,0,148.0,75.0,1890.0,-37.77305,144.95681000000005
Flemington,121 Princes St,2,casa,1060000.0,4.4,3031.0,1,0,209.0,75.0,1890.0,-37.78464,144.92805
Fitzroy North,92 Scotchmer St,2,casa,1008000.0,3.5,3068.0,1,1,150.0,77.0,1890.0,-37.7833,144.9819
Ascot Vale,8 Geddes St,2,casa,710000.0,5.9,3032.0,1,1,214.0,77.0,1890.0,-37.7776,144.9142
Ascot Vale,63 Kent St,2,casa,751000.0,5.9,3032.0,1,1,118.0,79.0,1890.0,-37.7807,144.9288
Collingwood,382 Wellington St,2,casa,855000.0,1.6,3066.0,1,0,130.0,80.0,1890.0,-37.7953,144.9882
Cremorne,18 Chapel St,2,casa,1015000.0,2.5,3121.0,1,1,131.0,80.0,1890.0,-37.8274,144.9967
Kew,73 Cobden St,2,casa,1326000.0,5.6,3101.0,1,2,405.0,80.0,1890.0,-37.8012,145.0361
Richmond,45 Westbank Tce,2,casa,1045000.0,2.6,3121.0,1,1,138.0,81.0,1890.0,-37.8218,145.0132
Carlton,34 Barkly St,2,casa,1170000.0,1.8,3053.0,1,1,144.0,81.0,1890.0,-37.7984,144.9738
Brunswick,10 Cliff St,1,casa,772000.0,5.2,3056.0,1,1,147.0,82.0,1890.0,-37.7643,144.9584
Albert Park,364 Montague St,2,casa,1562500.0,3.3,3206.0,1,0,141.0,83.0,1890.0,-37.8424,144.9562
Albert Park,91 Page St,3,casa,2150000.0,3.3,3206.0,1,1,163.0,85.0,1890.0,-37.84725,144.95498999999995
Clifton Hill,119 Roseneath St,2,casa,1075000.0,3.4,3068.0,1,1,174.0,85.0,1890.0,-37.7928,144.9987
Footscray,3 Park St,4,casa,775000.0,6.4,3011.0,1,2,277.0,87.0,1890.0,-37.7901,144.8883
Brunswick,141 Gold St,2,casa,845500.0,5.2,3056.0,1,1,179.0,90.0,1890.0,-37.7742,144.9542
Carlton,27 Faraday St,2,casa,1117000.0,1.8,3053.0,1,0,128.0,92.0,1890.0,-37.7996,144.9737
Fitzroy North,35 Birkenhead St,2,casa,1290000.0,3.5,3068.0,1,0,136.0,92.0,1890.0,-37.7819,144.9824
Elwood,7 Moore St,2,casa,1210000.0,7.7,3184.0,1,0,163.0,92.0,1890.0,-37.8778,144.9904
South Yarra,26 Fawkner St,2,casa,1455000.0,3.3,3141.0,1,0,225.0,94.0,1890.0,-37.8421,144.9876
Clifton Hill,15 Dally St,2,casa,1250000.0,3.4,3068.0,1,0,158.0,95.0,1890.0,-37.79245,144.99948999999995
Moonee Ponds,19 Sussex St,2,casa,945000.0,6.9,3039.0,1,0,225.0,97.0,1890.0,-37.7639,144.9093
Seddon,14 Pole St,3,casa,970000.0,6.6,3011.0,1,0,137.0,98.0,1890.0,-37.8078,144.8972
Flemington,59 Victoria St,2,casa,730000.0,4.4,3031.0,1,1,140.0,98.0,1890.0,-37.7867,144.9342
Albert Park,65 Graham St,2,casa,1322500.0,3.3,3206.0,1,0,149.0,98.0,1890.0,-37.8443,144.9481
Clifton Hill,40 Myrtle St,2,casa,1290000.0,3.4,3068.0,1,0,164.0,99.0,1890.0,-37.7912,144.9967
Cremorne,66 Green St,3,casa,1300000.0,2.5,3121.0,1,1,326.0,100.0,1890.0,-37.8283,144.9946
Fitzroy,84 Kerr St,2,casa,1122000.0,1.6,3065.0,1,0,106.0,101.0,1890.0,-37.7968,144.9781
Coburg,16 Linda St,2,casa,953000.0,7.8,3058.0,1,1,170.0,101.0,1890.0,-37.7508,144.9608
Brunswick East,178 Weston St,2,casa,1080000.0,4.5,3057.0,1,0,193.0,101.0,1890.0,-37.7765,144.9751
Kensington,26 Hopetoun St,2,casa,1155000.0,4.2,3031.0,1,1,197.0,101.0,1890.0,-37.7918,144.9264
Burnley,154 Stawell St,3,casa,1435000.0,3.5,3121.0,1,0,182.0,102.0,1890.0,-37.8289,145.0089
Parkville,92 Fitzgibbon St,2,casa,1805000.0,2.6,3052.0,1,1,187.0,102.0,1890.0,-37.7939,144.9572
Northcote,6 Dally St,2,casa,1035000.0,5.5,3070.0,1,2,243.0,102.0,1890.0,-37.7653,145.0014
Hawthorn,24 College St,3,casa,1551000.0,4.6,3122.0,1,1,199.0,103.0,1890.0,-37.8172,145.0243
Brunswick,58 Cassels Rd,3,casa,860000.0,5.2,3056.0,1,1,184.0,104.0,1890.0,-37.7563,144.96
Brunswick,4 Frederick St,3,casa,1170000.0,5.2,3056.0,1,0,285.0,104.0,1890.0,-37.7634,144.9593
Fitzroy,431 George St,3,casa,1250000.0,1.6,3065.0,1,1,113.0,105.0,1890.0,-37.7966,144.9821
Abbotsford,78 Yarra St,3,casa,1176500.0,2.5,3067.0,1,1,138.0,105.0,1890.0,-37.8021,144.9965
Box Hill,19 Kent Rd,3,casa,928000.0,13.1,3128.0,1,1,307.0,106.0,1890.0,-37.8247,145.1206
Clifton Hill,31 Fenwick St,2,casa,1450000.0,3.4,3068.0,1,0,156.0,107.0,1890.0,-37.7892,144.9999
Hawthorn,14 Malmsbury St,3,casa,1420000.0,4.6,3122.0,1,0,218.0,108.0,1890.0,-37.8214,145.0437
Northcote,43 Christmas St,2,casa,1286000.0,5.5,3070.0,1,1,245.0,108.0,1890.0,-37.7662,145.0096
Fitzroy North,191 Scotchmer St,3,casa,1300000.0,3.5,3068.0,1,1,203.0,110.0,1890.0,-37.7834,144.9862
St Kilda,25 Fawkner St,2,casa,1440000.0,6.1,3182.0,1,2,194.0,112.0,1890.0,-37.85771,144.97742
Seddon,56 Hamilton St,3,casa,1145000.0,6.6,3011.0,1,1,350.0,116.0,1890.0,-37.8094,144.8869
Preston,192 Wood St,4,casa,870000.0,8.8,3072.0,1,2,400.0,117.0,1890.0,-37.7346,145.0164
Richmond,8 Malleson St,3,casa,1420000.0,2.6,3121.0,1,0,198.0,119.0,1890.0,-37.8225,145.0007
Richmond,249 Punt Rd,4,casa,950000.0,2.6,3121.0,1,0,254.0,124.0,1890.0,-37.8201,144.9898
Richmond,249 Punt Rd,4,casa,905000.0,2.6,3121.0,1,0,254.0,124.0,1890.0,-37.8201,144.9898
Seddon,64 Pilgrim St,3,casa,880000.0,6.6,3011.0,1,0,216.0,125.0,1890.0,-37.8052,144.8941
Preston,287 Tyler St,3,casa,1650000.0,8.8,3072.0,1,2,452.0,129.0,1890.0,-37.7307,145.0094
Albert Park,49 Page St,3,casa,2000000.0,3.3,3206.0,1,1,238.0,131.0,1890.0,-37.8461,144.9528
Flemington,54 Princes St,3,casa,917000.0,4.4,3031.0,1,0,143.0,136.0,1890.0,-37.78679,144.93471
Northcote,160 Bent St,4,casa,1420000.0,5.5,3070.0,1,1,465.0,137.0,1890.0,-37.7662,144.9889
Carlton,130 Rathdowne St,4,casa,1616000.0,1.8,3053.0,1,0,152.0,139.0,1890.0,-37.7966,144.9709
Camberwell,21 Avenue Rd,3,casa,1905000.0,7.8,3124.0,1,2,400.0,145.0,1890.0,-37.8333,145.06157
Seddon,18 William St,4,casa,1270000.0,6.6,3011.0,1,1,352.0,150.0,1890.0,-37.8059,144.8899
Fitzroy,31 Bell St,4,casa,1950000.0,1.6,3065.0,1,0,177.0,152.0,1890.0,-37.7999,144.9759
Elsternwick,275 Kooyong Rd,3,casa,1605000.0,8.5,3185.0,1,1,418.0,152.0,1890.0,-37.8831,145.0153
Northcote,39 Barry St,3,casa,1710000.0,5.5,3070.0,1,1,247.0,160.0,1890.0,-37.7798,144.9952
Brunswick,64 Hanover St,3,casa,1250000.0,5.2,3056.0,1,1,483.0,162.0,1890.0,-37.7602,144.9543
Port Melbourne,130 Nott St,3,casa,985000.0,3.8,3207.0,1,0,171.0,167.0,1890.0,-37.8385,144.9409
Port Melbourne,146 Dow St,5,casa,2350000.0,3.8,3207.0,1,2,350.0,173.0,1890.0,-37.8407,144.9424
Coburg,243 Moreland Rd,3,casa,1370000.0,7.8,3058.0,1,1,233.0,180.0,1890.0,-37.7549,144.9611
Ascot Vale,12 Mirams St,4,casa,890000.0,5.9,3032.0,1,1,300.0,185.0,1890.0,-37.7766,144.9143
Parkville,110 Gatehouse St,4,casa,1928000.0,2.6,3052.0,1,0,194.0,186.0,1890.0,-37.7944,144.9542
Brunswick East,94 Barkly St,4,casa,1815000.0,4.5,3057.0,1,1,233.0,204.0,1890.0,-37.7776,144.9727
Kingsville,309 Geelong Rd,2,casa,685000.0,7.8,3012.0,1,1,220.0,219.0,1890.0,-37.8068,144.8782
Canterbury,5 Margaret St,4,casa,2620000.0,9.0,3126.0,1,1,717.0,235.0,1890.0,-37.8266,145.0849
Caulfield South,30 Cedar St,2,casa,1001000.0,9.3,3162.0,2,1,255.0,85.0,1890.0,-37.8887,145.0207
South Melbourne,247 York St,3,casa,1250000.0,2.1,3205.0,2,0,224.0,113.0,1890.0,-37.8329,144.9529
Hawthorn East,61 Roseberry St,3,casa,1625000.0,7.5,3123.0,2,1,255.0,115.0,1890.0,-37.8266,145.0493
Richmond,41 Cameron St,3,casa,1320000.0,2.6,3121.0,2,2,171.0,118.0,1890.0,-37.8166,144.9987
Parkville,55 Park Dr,3,casa,2790000.0,2.6,3052.0,2,1,180.0,120.0,1890.0,-37.79588,144.95718
Prahran,3 Arkle St,3,casa,1811000.0,4.5,3181.0,2,1,273.0,125.0,1890.0,-37.8544,145.0038
Newport,115 North Rd,3,casa,1046000.0,8.4,3015.0,2,2,284.0,125.0,1890.0,-37.8446,144.8861
Hawthorn,37 Brook St,3,casa,1400000.0,4.6,3122.0,2,1,164.0,126.0,1890.0,-37.8159,145.0219
South Melbourne,72 Smith St,3,casa,1595000.0,2.1,3205.0,2,0,171.0,126.0,1890.0,-37.8391,144.9501
Brunswick,69 Glenlyon Rd,3,casa,1210000.0,5.2,3056.0,2,1,280.0,130.0,1890.0,-37.7719,144.9661
Albert Park,17 Reed St,3,casa,1740000.0,3.3,3206.0,2,2,147.0,134.0,1890.0,-37.8448,144.9453
Clifton Hill,11 Page St,3,casa,1370000.0,3.4,3068.0,2,1,176.0,135.0,1890.0,-37.7921,144.9898
South Yarra,3 Palermo St,3,casa,2285000.0,3.3,3141.0,2,2,221.0,135.0,1890.0,-37.8416,144.9959
South Melbourne,16 Tribe St,3,casa,2000000.0,2.1,3205.0,2,1,161.0,141.0,1890.0,-37.8383,144.9499
Fairfield,197 Station St,4,casa,1160000.0,5.8,3078.0,2,1,381.0,145.0,1890.0,-37.7735,145.0192
Brunswick East,9 John St,4,casa,1625000.0,4.5,3057.0,2,2,822.0,145.0,1890.0,-37.7749,144.9762
Albert Park,97 Page St,3,casa,3010000.0,3.3,3206.0,2,0,147.0,146.0,1890.0,-37.8473,144.9551
Middle Park,23 Nimmo St,3,casa,2250000.0,4.1,3206.0,2,1,148.0,146.0,1890.0,-37.84705,144.96437
South Yarra,62 Powell St,3,casa,1945000.0,3.3,3141.0,2,1,194.0,148.0,1890.0,-37.8395,144.9898
Prahran,93 Charles St,3,casa,2180000.0,4.5,3181.0,2,2,238.0,153.0,1890.0,-37.8476,144.9892
Princes Hill,77 McIlwraith St,4,casa,1908000.0,3.7,3054.0,2,1,256.0,156.0,1890.0,-37.7833,144.9681
Footscray,37 Stirling St,3,casa,1362000.0,6.4,3011.0,2,0,497.0,156.0,1890.0,-37.7958,144.9024
Moonee Ponds,61 Athol St,3,casa,1400000.0,6.9,3039.0,2,2,394.0,160.0,1890.0,-37.7699,144.9149
Hawthorn East,11 Council St,3,casa,1320000.0,7.5,3123.0,2,1,213.0,162.0,1890.0,-37.8302,145.0542
Carlton North,1018 Drummond St,4,casa,2520000.0,3.2,3054.0,2,2,504.0,168.0,1890.0,-37.7805,144.9721
Yarraville,47 Bayview Rd,5,casa,1815000.0,7.0,3013.0,2,2,644.0,172.0,1890.0,-37.8102,144.8857
Hawthorn,23 Edgerton St,4,casa,1936000.0,4.6,3122.0,2,1,218.0,173.0,1890.0,-37.8142,145.0252
Yarraville,122 Blackwood St,4,casa,1606000.0,7.0,3013.0,2,3,455.0,178.0,1890.0,-37.8177,144.8839
Malvern,35 Dixon St,3,casa,2050000.0,7.4,3144.0,2,1,231.0,180.0,1890.0,-37.8607,145.0373
Malvern,20 Gordon Gr,4,casa,1965000.0,7.4,3144.0,2,1,300.0,185.0,1890.0,-37.8638,145.0298
Northcote,13 Hawthorn Rd,4,casa,2175000.0,5.5,3070.0,2,1,573.0,186.0,1890.0,-37.7707,144.9924
Camberwell,28 Brinsley Rd,4,casa,2650000.0,7.8,3124.0,2,1,652.0,189.0,1890.0,-37.8286,145.0686
South Melbourne,248 Montague St,3,casa,1650000.0,2.1,3205.0,2,0,204.0,195.0,1890.0,-37.8357,144.9531
Box Hill,55 Albion Rd,4,casa,1600000.0,13.1,3128.0,2,1,692.0,195.0,1890.0,-37.8247,145.1281
Albert Park,112 Beaconsfield Pde,3,casa,2850000.0,3.3,3206.0,2,0,211.0,198.0,1890.0,-37.8481,144.9499
Yarraville,54 Tongue St,4,casa,2035000.0,7.0,3013.0,2,0,607.0,201.0,1890.0,-37.80978,144.89252
St Kilda,12 Gurner St,4,casa,1900000.0,6.1,3182.0,2,2,507.0,202.0,1890.0,-37.8616,144.9807
Fitzroy North,74 Barkly St,4,casa,1950000.0,3.5,3068.0,2,2,233.0,216.0,1890.0,-37.7786,144.9818
Newport,74 Alma Tce,4,casa,2337000.0,8.4,3015.0,2,3,580.0,222.0,1890.0,-37.83699,144.8698
Kew,176 Cotham Rd,4,casa,2625000.0,5.6,3101.0,2,2,717.0,225.0,1890.0,-37.8083,145.0418
Kew,68 Mary St,5,casa,2425000.0,5.6,3101.0,2,2,534.0,237.0,1890.0,-37.8044,145.0386
Kew,80 Brougham St,4,casa,2850000.0,5.6,3101.0,2,4,690.0,248.0,1890.0,-37.8037,145.0308
Camberwell,6 Kingsley St,4,casa,3550000.0,7.8,3124.0,2,1,790.0,251.0,1890.0,-37.82694,145.06607
Essendon,242 Buckley St,3,casa,1100000.0,8.0,3040.0,2,1,789.0,257.0,1890.0,-37.7558,144.9073
Brunswick,222 Barkly St,5,casa,2500000.0,5.2,3056.0,2,2,555.0,266.0,1890.0,-37.7767,144.9645
Hawthorn,4 Ardene Ct,5,casa,3950000.0,4.6,3122.0,2,3,1236.0,340.0,1890.0,-37.8257,145.0321
Windsor,77 Raleigh St,3,casa,1910000.0,5.1,3181.0,3,1,143.0,89.0,1890.0,-37.8525,144.9881
Canterbury,42 Warburton Rd,3,casa,2200000.0,9.0,3126.0,3,2,468.0,148.0,1890.0,-37.8264,145.0741
Williamstown,19 Verdon St,4,casa,2910000.0,8.0,3016.0,3,0,338.0,196.0,1890.0,-37.8633,144.8963
Brunswick,25 Hardy St,4,casa,1500000.0,5.2,3056.0,3,1,365.0,209.0,1890.0,-37.7624,144.9671
Seddon,93 Williamstown Rd,5,casa,1275000.0,6.6,3011.0,3,1,386.0,218.0,1890.0,-37.8078,144.8846
Richmond,78 Davison St,5,casa,3200000.0,2.6,3121.0,3,3,618.0,260.0,1890.0,-37.8157,145.0073
Fitzroy,17 Bell St,4,casa,4011000.0,1.6,3065.0,3,2,286.0,275.0,1890.0,-37.7999,144.9755
Brighton,82 New St,5,casa,3700000.0,11.2,3186.0,3,4,1572.0,305.0,1890.0,-37.9233,144.9944
Kew,49 Princess St,4,casa,2250000.0,5.6,3101.0,3,2,741.0,307.0,1890.0,-37.8043,145.0291
Malvern,18 Soudan St,5,casa,4240000.0,7.4,3144.0,3,3,580.0,320.0,1890.0,-37.8653,145.0304
Kew,15 Barry St,6,casa,6500000.0,5.6,3101.0,6,3,1334.0,365.0,1890.0,-37.8029,145.0267
South Yarra,366 Toorak Rd,3,casa,1700000.0,3.3,3141.0,1,1,178.0,172.0,1894.0,-37.8404,145.0022
Windsor,344 High St,3,casa,2302000.0,5.1,3181.0,1,4,440.0,144.0,1895.0,-37.8528,144.9994
Camberwell,18 Russell St,4,casa,2600000.0,7.8,3124.0,2,2,600.0,232.0,1897.0,-37.8237,145.0638
Newport,10 Crawford St,1,casa,643700.0,8.4,3015.0,1,0,129.0,45.0,1900.0,-37.8491,144.8903
Albert Park,9 Durham St,1,casa,985000.0,3.3,3206.0,1,0,81.0,54.0,1900.0,-37.8411,144.9497
Richmond,6 Berry St,2,casa,900000.0,2.6,3121.0,1,0,95.0,63.0,1900.0,-37.8193,144.9976
St Kilda,27 Bath St,2,casa,875000.0,6.1,3182.0,1,1,123.0,68.0,1900.0,-37.8641,144.9866
Port Melbourne,39 Heath St,2,casa,900000.0,3.8,3207.0,1,0,124.0,70.0,1900.0,-37.8356,144.9439
Collingwood,130 Keele St,2,casa,890000.0,1.6,3066.0,1,1,178.0,70.0,1900.0,-37.7974,144.9915
Hawthorn East,45 Roseberry St,2,casa,1335000.0,7.5,3123.0,1,0,229.0,70.0,1900.0,-37.8265,145.0484
Ascot Vale,1/91 Epsom Rd,2,kitnet,545000.0,5.9,3032.0,1,2,194.0,71.0,1900.0,-37.7772,144.9118
Richmond,50 Canterbury St,2,casa,827500.0,2.6,3121.0,1,0,127.0,72.0,1900.0,-37.8251,145.0063
Kensington,70 Hardiman St,2,casa,960000.0,4.2,3031.0,1,1,174.0,72.0,1900.0,-37.7959,144.9343
Richmond,24 The Crofts,2,casa,1125000.0,2.6,3121.0,1,0,103.0,74.0,1900.0,-37.8199,144.9911
South Melbourne,22A Cobden St,2,casa,930000.0,2.1,3205.0,1,0,115.0,76.0,1900.0,-37.8345,144.9685
Ascot Vale,73 Kent St,2,casa,760000.0,5.9,3032.0,1,1,124.0,77.0,1900.0,-37.7807,144.9285
Richmond,2 Moore St,1,casa,911000.0,2.6,3121.0,1,0,126.0,77.0,1900.0,-37.82105,145.00643
South Yarra,39 Hardy St,2,casa,1130000.0,3.3,3141.0,1,1,132.0,77.0,1900.0,-37.8446,144.9896
Burnley,148 Stawell St,2,casa,1202500.0,3.5,3121.0,1,1,149.0,77.0,1900.0,-37.8287,145.0089
Flemington,107 Shields St,2,casa,918000.0,4.4,3031.0,1,0,136.0,78.0,1900.0,-37.7839,144.9343
Prahran,84 York St,2,casa,1305000.0,4.5,3181.0,1,1,131.0,79.0,1900.0,-37.8479,144.9988
Abbotsford,25 Bloomburg St,2,casa,1035000.0,2.5,3067.0,1,0,156.0,79.0,1900.0,-37.8079,144.9934
Middle Park,158 Neville St,2,casa,1300000.0,4.1,3206.0,1,0,132.0,80.0,1900.0,-37.84684,144.9604
Richmond,52 Hunter St,2,casa,1150000.0,2.6,3121.0,1,0,156.0,80.0,1900.0,-37.8209,145.0052
Footscray,27 MacPherson St,2,casa,882000.0,6.4,3011.0,1,0,172.0,80.0,1900.0,-37.7936,144.88878
Albert Park,396 Montague St,2,casa,1436000.0,3.3,3206.0,1,0,130.0,81.0,1900.0,-37.8431,144.9565
Seddon,80 Gamon St,2,casa,815000.0,6.6,3011.0,1,0,172.0,81.0,1900.0,-37.81,144.8896
Richmond,81 Erin St,3,casa,1260000.0,2.6,3121.0,1,0,203.0,81.0,1900.0,-37.8166,144.9945
Maidstone,67 Norfolk St,3,casa,840000.0,9.2,3012.0,1,1,584.0,81.0,1900.0,-37.7885,144.8771
Albert Park,105 Kerferd Rd,2,casa,1275000.0,3.3,3206.0,1,0,120.0,82.0,1900.0,-37.8459,144.9555
South Yarra,14 Moore St,2,casa,1214000.0,3.3,3141.0,1,0,161.0,82.0,1900.0,-37.84228,144.98676
Abbotsford,200 Nicholson St,2,casa,1012500.0,2.5,3067.0,1,0,182.0,82.0,1900.0,-37.8021,144.9976
Prahran,19 Packington Pl,2,casa,1055000.0,4.5,3181.0,1,0,203.0,85.0,1900.0,-37.8557,145.0053
Moonee Ponds,20 Huntly St,2,casa,970000.0,6.9,3039.0,1,2,272.0,85.0,1900.0,-37.76192,144.93527
South Yarra,33 Tyrone St,2,casa,1200000.0,3.3,3141.0,1,1,163.0,86.0,1900.0,-37.8446,144.9879
Ascot Vale,51 Francis St,2,casa,770000.0,5.9,3032.0,1,1,226.0,87.0,1900.0,-37.7774,144.9186
Richmond,308 Lennox St,2,casa,1220000.0,2.6,3121.0,1,1,166.0,88.0,1900.0,-37.8245,144.9933
Newport,65 Alma Tce,2,casa,890000.0,8.4,3015.0,1,0,168.0,90.0,1900.0,-37.8475,144.8897
Kensington,123 Rankins Rd,2,casa,850000.0,4.2,3031.0,1,1,169.0,90.0,1900.0,-37.7925,144.9315
Richmond,58 Rooney St,2,casa,1045000.0,2.6,3121.0,1,2,200.0,90.0,1900.0,-37.8294,145.0029
Hawthorn,44 College St,3,casa,1300000.0,4.6,3122.0,1,0,232.0,90.0,1900.0,-37.8173,145.0252
Abbotsford,47 Studley St,2,casa,1180000.0,2.5,3067.0,1,0,162.0,91.0,1900.0,-37.8016,144.9956
Richmond,32 Duke St,2,casa,1025000.0,2.6,3121.0,1,1,169.0,92.0,1900.0,-37.8235,145.0035
Richmond,13 McKay St,3,casa,1150000.0,2.6,3121.0,1,0,176.0,92.0,1900.0,-37.8116,145.0042
Hawthorn,4A Simpson Pl,3,casa,1180000.0,4.6,3122.0,1,3,218.0,92.0,1900.0,-37.8176,145.0204
Footscray,25 Southampton St,3,casa,840000.0,6.4,3011.0,1,0,164.0,93.0,1900.0,-37.7959,144.8863
Brunswick,246 Victoria St,2,casa,890000.0,5.2,3056.0,1,1,199.0,93.0,1900.0,-37.7676,144.9659
Port Melbourne,44 Cruikshank St,2,casa,1350000.0,3.8,3207.0,1,1,195.0,94.0,1900.0,-37.8395,144.9462
Richmond,30 Cameron St,3,casa,1474000.0,2.6,3121.0,1,0,238.0,94.0,1900.0,-37.8167,144.9977
Footscray,7 Essex St,2,casa,747000.0,6.4,3011.0,1,1,320.0,94.0,1900.0,-37.7964,144.8871
Maidstone,67 Ballarat Rd,2,casa,646000.0,9.2,3012.0,1,2,270.0,95.0,1900.0,-37.7871,144.8791
Newport,14 Oakbank St,2,casa,896000.0,8.4,3015.0,1,0,297.0,95.0,1900.0,-37.8501,144.8931
Clifton Hill,13 Caroline St,3,casa,1060000.0,3.4,3068.0,1,0,193.0,98.0,1900.0,-37.7899,144.9984
Brunswick West,12 Hamilton St,2,casa,820000.0,5.9,3055.0,1,1,206.0,98.0,1900.0,-37.7604,144.9488
Footscray,224 Ballarat Rd,2,casa,690500.0,6.4,3011.0,1,1,212.0,98.0,1900.0,-37.7903,144.8879
