state,number,Month
Acre,1.0,2010-6
Acre,10.0,2011-6
Acre,7.0,2012-6
Acre,8.0,2013-6
Acre,17.0,2014-6
Acre,40.0,2015-6
Acre,87.0,2016-6
Acre,45.0,2017-6
Acre,37.0,1998-7
Acre,1.0,1999-7
Acre,1.0,2000-7
Acre,3.0,2001-7
Acre,39.0,2002-7
Acre,168.0,2003-7
Acre,42.0,2004-7
Acre,368.0,2005-7
Acre,33.0,2006-7
Acre,29.0,2007-7
Acre,41.0,2008-7
Acre,31.0,2009-7
Acre,126.0,2010-7
Acre,93.0,2011-7
Acre,71.0,2012-7
Acre,54.0,2013-7
Acre,60.0,2014-7
Acre,109.0,2015-7
Acre,533.0,2016-7
Acre,457.0,2017-7
Acre,130.0,1998-8
Acre,63.0,1999-8
Acre,136.0,2000-8
Acre,396.0,2001-8
Acre,728.0,2002-8
Acre,1.976,2003-8
Acre,645.0,2004-8
Acre,4.198,2005-8
Acre,839.0,2006-8
Acre,960.0,2007-8
Acre,445.0,2008-8
Acre,194.0,2009-8
Acre,1.682,2010-8
Acre,425.0,2011-8
Acre,739.0,2012-8
Acre,679.0,2013-8
Acre,1.1,2014-8
Acre,1.3969999999999998,2015-8
Acre,2.188,2016-8
Acre,1.493,2017-8
Acre,509.0,1998-9
Acre,209.0,1999-9
Acre,265.0,2000-9
Acre,290.0,2001-9
Acre,1.949,2002-9
Acre,3.9419999999999997,2003-9
Acre,1.9780000000000002,2004-9
Acre,4.253,2005-9
Acre,2.37,2006-9
Acre,2.08,2007-9
Acre,1.666,2008-9
Acre,1.265,2009-9
Acre,2.531,2010-9
Acre,1.204,2011-9
Acre,1.996,2012-9
Acre,2.136,2013-9
Acre,2.175,2014-9
Acre,2.928,2015-9
Acre,3.5860000000000003,2016-9
Acre,3.429,2017-9
Acre,44.0,1998-10
Acre,60.0,1999-10
Acre,18.0,2000-10
Acre,137.0,2001-10
Acre,687.0,2002-10
Acre,740.0,2003-10
Acre,461.0,2004-10
Acre,547.0,2005-10
Acre,316.0,2006-10
Acre,203.0,2007-10
Acre,652.0,2008-10
Acre,565.0,2009-10
Acre,292.0,2010-10
Acre,97.0,2011-10
Acre,348.0,2012-10
Acre,258.0,2013-10
Acre,406.0,2014-10
Acre,905.0,2015-10
Acre,509.0,2016-10
Acre,1.508,2017-10
Acre,0.0,1998-11
Acre,0.0,1999-11
Acre,0.0,2000-11
Acre,1.0,2001-11
Acre,86.0,2002-11
Acre,15.0,2003-11
Acre,10.0,2004-11
Acre,14.0,2005-11
Acre,18.0,2006-11
Acre,7.0,2007-11
Acre,4.0,2008-11
Acre,33.0,2009-11
Acre,39.0,2010-11
Acre,74.0,2011-11
Acre,13.0,2012-11
Acre,79.0,2013-11
Acre,56.0,2014-11
Acre,115.0,2015-11
Acre,46.0,2016-11
Acre,98.0,2017-11
Acre,7.0,1998-12
Acre,0.0,1999-12
Acre,0.0,2000-12
Acre,0.0,2001-12
Acre,1.0,2002-12
Acre,1.0,2003-12
Acre,7.0,2004-12
Acre,2.0,2005-12
Acre,0.0,2006-12
Acre,0.0,2007-12
Acre,0.0,2008-12
Acre,1.0,2009-12
Acre,0.0,2010-12
Acre,4.0,2011-12
Acre,1.0,2012-12
Acre,3.0,2013-12
Acre,6.0,2014-12
Acre,8.0,2015-12
Acre,6.0,2016-12
Alagoas,0.0,1998-1
Alagoas,58.0,1999-1
Alagoas,11.0,2000-1
Alagoas,5.0,2001-1
Alagoas,12.0,2002-1
Alagoas,150.0,2003-1
Alagoas,9.0,2004-1
Alagoas,83.0,2005-1
Alagoas,29.0,2006-1
Alagoas,33.0,2007-1
Alagoas,55.0,2008-1
Alagoas,104.0,2009-1
Alagoas,23.0,2010-1
Alagoas,41.0,2011-1
Alagoas,36.0,2012-1
Alagoas,49.0,2013-1
Alagoas,54.0,2014-1
Alagoas,81.0,2015-1
Alagoas,24.0,2016-1
Alagoas,38.0,2017-1
Alagoas,38.0,2017-1
Alagoas,0.0,1998-2
Alagoas,20.0,1999-2
Alagoas,16.0,2000-2
Alagoas,4.0,2001-2
Alagoas,15.0,2002-2
Alagoas,33.0,2003-2
Alagoas,7.0,2004-2
Alagoas,31.0,2005-2
Alagoas,14.0,2006-2
Alagoas,28.0,2007-2
Alagoas,74.0,2008-2
Alagoas,32.0,2009-2
Alagoas,26.0,2010-2
Alagoas,33.0,2011-2
Alagoas,41.0,2012-2
Alagoas,19.0,2013-2
Alagoas,29.0,2014-2
Alagoas,46.0,2015-2
Alagoas,14.0,2016-2
Alagoas,21.0,2017-2
Alagoas,0.0,1998-3
Alagoas,52.0,1999-3
Alagoas,32.0,2000-3
Alagoas,0.0,2001-3
Alagoas,27.0,2002-3
Alagoas,15.0,2003-3
Alagoas,16.0,2004-3
Alagoas,35.0,2005-3
Alagoas,37.0,2006-3
Alagoas,7.0,2007-3
Alagoas,31.0,2008-3
Alagoas,31.0,2009-3
Alagoas,70.0,2010-3
Alagoas,34.0,2011-3
Alagoas,44.0,2012-3
Alagoas,31.0,2013-3
Alagoas,28.0,2014-3
Alagoas,32.0,2015-3
Alagoas,9.0,2016-3
Alagoas,23.0,2017-3
Alagoas,0.0,1998-4
Alagoas,4.0,1999-4
Alagoas,20.0,2000-4
Alagoas,0.0,2001-4
Alagoas,6.0,2002-4
Alagoas,20.0,2003-4
Alagoas,6.0,2004-4
Alagoas,1.0,2005-4
Alagoas,2.0,2006-4
Alagoas,1.0,2007-4
Alagoas,18.0,2008-4
Alagoas,5.0,2009-4
Alagoas,3.0,2010-4
Alagoas,17.0,2011-4
Alagoas,18.0,2012-4
Alagoas,25.0,2013-4
Alagoas,16.0,2014-4
Alagoas,63.0,2015-4
Alagoas,13.0,2016-4
Alagoas,7.0,2017-4
Alagoas,0.0,1998-5
Alagoas,1.0,1999-5
Alagoas,1.0,2000-5
Alagoas,2.0,2001-5
Alagoas,1.0,2002-5
Alagoas,1.0,2003-5
Alagoas,3.0,2004-5
Alagoas,0.0,2005-5
Alagoas,0.0,2006-5
Alagoas,0.0,2007-5
Alagoas,0.0,2008-5
Alagoas,0.0,2009-5
Alagoas,0.0,2010-5
Alagoas,0.0,2011-5
Alagoas,21.0,2012-5
Alagoas,2.0,2013-5
Alagoas,1.0,2014-5
Alagoas,18.0,2015-5
Alagoas,4.0,2016-5
Alagoas,1.0,2017-5
Alagoas,0.0,1998-6
Alagoas,0.0,1999-6
Alagoas,0.0,2000-6
Alagoas,2.0,2001-6
Alagoas,0.0,2002-6
Alagoas,0.0,2003-6
Alagoas,0.0,2004-6
Alagoas,0.0,2005-6
Alagoas,0.0,2006-6
Alagoas,0.0,2007-6
Alagoas,0.0,2008-6
Alagoas,0.0,2009-6
Alagoas,0.0,2010-6
Alagoas,2.0,2011-6
Alagoas,4.0,2012-6
Alagoas,1.0,2013-6
Alagoas,2.0,2014-6
Alagoas,2.0,2015-6
Alagoas,5.0,2016-6
Alagoas,2.0,2017-6
Alagoas,0.0,1998-7
Alagoas,0.0,1999-7
Alagoas,0.0,2000-7
Alagoas,0.0,2001-7
Alagoas,5.0,2002-7
Alagoas,0.0,2003-7
Alagoas,0.0,2004-7
Alagoas,0.0,2005-7
Alagoas,0.0,2006-7
Alagoas,0.0,2007-7
Alagoas,0.0,2008-7
Alagoas,0.0,2009-7
Alagoas,2.0,2010-7
Alagoas,0.0,2011-7
Alagoas,0.0,2012-7
Alagoas,0.0,2013-7
Alagoas,1.0,2014-7
Alagoas,0.0,2015-7
Alagoas,3.0,2016-7
Alagoas,0.0,2017-7
Alagoas,1.0,1998-8
Alagoas,3.0,1999-8
Alagoas,4.0,2000-8
Alagoas,1.0,2001-8
Alagoas,3.0,2002-8
Alagoas,2.0,2003-8
Alagoas,2.0,2004-8
Alagoas,2.0,2005-8
Alagoas,1.0,2006-8
Alagoas,3.0,2007-8
Alagoas,1.0,2008-8
Alagoas,0.0,2009-8
Alagoas,1.0,2010-8
Alagoas,4.0,2011-8
Alagoas,0.0,2012-8
Alagoas,0.0,2013-8
Alagoas,3.0,2014-8
Alagoas,3.0,2015-8
Alagoas,5.0,2016-8
Alagoas,1.0,2017-8
Alagoas,14.0,1998-9
Alagoas,3.0,1999-9
Alagoas,22.0,2000-9
Alagoas,5.0,2001-9
Alagoas,14.0,2002-9
Alagoas,8.0,2003-9
Alagoas,5.0,2004-9
Alagoas,7.0,2005-9
Alagoas,4.0,2006-9
Alagoas,2.0,2007-9
Alagoas,9.0,2008-9
Alagoas,13.0,2009-9
Alagoas,5.0,2010-9
Alagoas,5.0,2011-9
Alagoas,6.0,2012-9
Alagoas,4.0,2013-9
Alagoas,11.0,2014-9
Alagoas,7.0,2015-9
Alagoas,18.0,2016-9
Alagoas,4.0,2017-9
Alagoas,20.0,1998-10
Alagoas,4.0,1999-10
Alagoas,13.0,2000-10
Alagoas,15.0,2001-10
Alagoas,30.0,2002-10
Alagoas,10.0,2003-10
Alagoas,12.0,2004-10
Alagoas,17.0,2005-10
Alagoas,32.0,2006-10
Alagoas,6.0,2007-10
Alagoas,18.0,2008-10
Alagoas,30.0,2009-10
Alagoas,16.0,2010-10
Alagoas,23.0,2011-10
Alagoas,28.0,2012-10
Alagoas,25.0,2013-10
Alagoas,7.0,2014-10
Alagoas,40.0,2015-10
Alagoas,74.0,2016-10
Alagoas,14.0,2017-10
Alagoas,19.0,1998-11
Alagoas,15.0,1999-11
Alagoas,2.0,2000-11
Alagoas,22.0,2001-11
Alagoas,50.0,2002-11
Alagoas,17.0,2003-11
Alagoas,28.0,2004-11
Alagoas,25.0,2005-11
Alagoas,12.0,2006-11
Alagoas,15.0,2007-11
Alagoas,37.0,2008-11
Alagoas,55.0,2009-11
Alagoas,31.0,2010-11
Alagoas,23.0,2011-11
Alagoas,95.0,2012-11
Alagoas,10.0,2013-11
Alagoas,14.0,2014-11
Alagoas,162.0,2015-11
Alagoas,76.0,2016-11
Alagoas,10.0,2017-11
Alagoas,32.0,1998-12
Alagoas,12.0,1999-12
Alagoas,2.0,2000-12
Alagoas,30.0,2001-12
Alagoas,95.0,2002-12
Alagoas,43.0,2003-12
Alagoas,71.0,2004-12
Alagoas,16.0,2005-12
Alagoas,30.0,2006-12
Alagoas,33.0,2007-12
Alagoas,34.0,2008-12
Alagoas,55.0,2009-12
Alagoas,45.0,2010-12
Alagoas,50.0,2011-12
Alagoas,59.0,2012-12
Alagoas,42.0,2013-12
Alagoas,24.0,2014-12
Alagoas,136.0,2015-12
Alagoas,155.0,2016-12
Amapa,0.0,1998-1
Amapa,0.0,1999-1
Amapa,2.0,2000-1
Amapa,0.0,2001-1
Amapa,7.0,2002-1
Amapa,31.0,2003-1
Amapa,38.0,2004-1
Amapa,109.0,2005-1
Amapa,6.0,2006-1
Amapa,0.0,2007-1
Amapa,2.0,2008-1
Amapa,4.0,2009-1
Amapa,2.0,2010-1
Amapa,0.0,2011-1
Amapa,30.0,2012-1
Amapa,3.0,2013-1
Amapa,10.0,2014-1
Amapa,14.0,2015-1
Amapa,19.0,2016-1
Amapa,2.0,2017-1
Amapa,0.0,1998-2
Amapa,1.0,1999-2
Amapa,0.0,2000-2
Amapa,0.0,2001-2
Amapa,2.0,2002-2
Amapa,0.0,2003-2
Amapa,2.0,2004-2
Amapa,1.0,2005-2
Amapa,2.0,2006-2
Amapa,0.0,2007-2
Amapa,0.0,2008-2
Amapa,0.0,2009-2
Amapa,0.0,2010-2
Amapa,3.0,2011-2
Amapa,5.0,2012-2
Amapa,0.0,2013-2
Amapa,2.0,2014-2
Amapa,1.0,2015-2
Amapa,1.0,2016-2
Amapa,0.0,2017-2
Amapa,0.0,1998-3
Amapa,2.0,1999-3
Amapa,0.0,2000-3
Amapa,0.0,2001-3
Amapa,0.0,2002-3
Amapa,1.0,2003-3
Amapa,0.0,2004-3
Amapa,0.0,2005-3
Amapa,0.0,2006-3
Amapa,0.0,2007-3
Amapa,1.0,2008-3
Amapa,1.0,2009-3
Amapa,2.0,2010-3
Amapa,0.0,2011-3
Amapa,1.0,2012-3
Amapa,0.0,2013-3
Amapa,1.0,2014-3
Amapa,2.0,2015-3
Amapa,5.0,2016-3
Amapa,0.0,2017-3
Amapa,0.0,1998-4
Amapa,0.0,1999-4
Amapa,0.0,2000-4
Amapa,0.0,2001-4
Amapa,0.0,2002-4
Amapa,2.0,2003-4
Amapa,0.0,2004-4
Amapa,0.0,2005-4
Amapa,0.0,2006-4
Amapa,0.0,2007-4
Amapa,2.0,2008-4
Amapa,0.0,2009-4
Amapa,2.0,2010-4
Amapa,0.0,2011-4
Amapa,2.0,2012-4
Amapa,2.0,2013-4
Amapa,0.0,2014-4
Amapa,0.0,2015-4
Amapa,0.0,2016-4
Amapa,3.0,2017-4
Amapa,0.0,1998-5
Amapa,0.0,1999-5
Amapa,0.0,2000-5
Amapa,0.0,2001-5
Amapa,3.0,2002-5
Amapa,0.0,2003-5
Amapa,0.0,2004-5
Amapa,0.0,2005-5
Amapa,0.0,2006-5
Amapa,0.0,2007-5
Amapa,0.0,2008-5
Amapa,2.0,2009-5
Amapa,2.0,2010-5
Amapa,2.0,2011-5
Amapa,2.0,2012-5
Amapa,0.0,2013-5
Amapa,0.0,2014-5
Amapa,0.0,2015-5
Amapa,1.0,2016-5
Amapa,1.0,2017-5
Amapa,0.0,1998-6
Amapa,2.0,1999-6
Amapa,0.0,2000-6
Amapa,0.0,2001-6
Amapa,0.0,2002-6
Amapa,0.0,2003-6
Amapa,5.0,2004-6
Amapa,2.0,2005-6
Amapa,0.0,2006-6
Amapa,0.0,2007-6
Amapa,0.0,2008-6
Amapa,1.0,2009-6
Amapa,0.0,2010-6
Amapa,0.0,2011-6
Amapa,7.0,2012-6
Amapa,1.0,2013-6
Amapa,0.0,2014-6
Amapa,3.0,2015-6
Amapa,2.0,2016-6
Amapa,2.0,2017-6
Amapa,0.0,1998-7
Amapa,0.0,1999-7
Amapa,0.0,2000-7
Amapa,1.0,2001-7
Amapa,1.0,2002-7
Amapa,0.0,2003-7
Amapa,2.0,2004-7
Amapa,0.0,2005-7
Amapa,0.0,2006-7
Amapa,0.0,2007-7
Amapa,0.0,2008-7
Amapa,4.0,2009-7
Amapa,2.0,2010-7
Amapa,5.0,2011-7
Amapa,3.0,2012-7
Amapa,1.0,2013-7
Amapa,4.0,2014-7
Amapa,5.0,2015-7
Amapa,1.0,2016-7
Amapa,3.0,2017-7
Amapa,1.0,1998-8
Amapa,0.0,1999-8
Amapa,3.0,2000-8
Amapa,12.0,2001-8
Amapa,18.0,2002-8
Amapa,14.0,2003-8
Amapa,9.0,2004-8
Amapa,4.0,2005-8
Amapa,11.0,2006-8
Amapa,5.0,2007-8
Amapa,4.0,2008-8
Amapa,20.0,2009-8
Amapa,1.0,2010-8
Amapa,16.0,2011-8
Amapa,19.0,2012-8
Amapa,9.0,2013-8
Amapa,18.0,2014-8
Amapa,40.0,2015-8
Amapa,37.0,2016-8
Amapa,33.0,2017-8
Amapa,20.0,1998-9
Amapa,4.0,1999-9
Amapa,19.0,2000-9
Amapa,95.0,2001-9
Amapa,73.0,2002-9
Amapa,88.0,2003-9
Amapa,67.0,2004-9
Amapa,97.0,2005-9
Amapa,112.0,2006-9
Amapa,61.0,2007-9
Amapa,83.0,2008-9
Amapa,188.0,2009-9
Amapa,63.0,2010-9
Amapa,128.0,2011-9
Amapa,168.0,2012-9
Amapa,85.0,2013-9
Amapa,137.0,2014-9
Amapa,192.0,2015-9
Amapa,142.0,2016-9
Amapa,95.0,2017-9
Amapa,42.0,1998-10
Amapa,25.0,1999-10
Amapa,42.0,2000-10
Amapa,194.0,2001-10
Amapa,557.0,2002-10
Amapa,355.0,2003-10
Amapa,412.0,2004-10
Amapa,335.0,2005-10
Amapa,405.0,2006-10
Amapa,162.0,2007-10
Amapa,395.0,2008-10
Amapa,765.0,2009-10
Amapa,265.0,2010-10
Amapa,304.0,2011-10
Amapa,475.0,2012-10
Amapa,385.0,2013-10
Amapa,480.0,2014-10
Amapa,827.0,2015-10
Amapa,793.0,2016-10
Amapa,468.0,2017-10
Amapa,131.0,1998-11
Amapa,26.0,1999-11
Amapa,157.0,2000-11
Amapa,406.0,2001-11
Amapa,1.0959999999999999,2002-11
Amapa,750.0,2003-11
Amapa,949.0,2004-11
Amapa,685.0,2005-11
Amapa,207.0,2006-11
Amapa,198.0,2007-11
Amapa,266.0,2008-11
Amapa,1.0190000000000001,2009-11
Amapa,339.0,2010-11
Amapa,282.0,2011-11
Amapa,969.0,2012-11
Amapa,341.0,2013-11
Amapa,484.0,2014-11
Amapa,1.3,2015-11
Amapa,1.161,2016-11
Amapa,858.0,2017-11
Amapa,84.0,1998-12
Amapa,41.0,1999-12
Amapa,30.0,2000-12
Amapa,593.0,2001-12
Amapa,200.0,2002-12
Amapa,411.0,2003-12
Amapa,777.0,2004-12
Amapa,38.0,2005-12
Amapa,74.0,2006-12
Amapa,14.0,2007-12
Amapa,32.0,2008-12
Amapa,123.0,2009-12
Amapa,43.0,2010-12
Amapa,360.0,2011-12
Amapa,422.0,2012-12
Amapa,148.0,2013-12
Amapa,354.0,2014-12
Amapa,269.0,2015-12
Amapa,491.0,2016-12
Amazonas,0.0,1998-1
Amazonas,3.0,1999-1
Amazonas,7.0,2000-1
Amazonas,3.0,2001-1
Amazonas,17.0,2002-1
Amazonas,158.0,2003-1
Amazonas,123.0,2004-1
Amazonas,44.0,2005-1
Amazonas,20.0,2006-1
Amazonas,37.0,2007-1
Amazonas,16.0,2008-1
Amazonas,9.0,2009-1
Amazonas,82.0,2010-1
Amazonas,53.0,2011-1
Amazonas,6.0,2012-1
Amazonas,37.0,2013-1
Amazonas,46.0,2014-1
Amazonas,35.0,2015-1
Amazonas,770.0,2016-1
Amazonas,65.0,2017-1
Amazonas,0.0,1998-2
Amazonas,43.0,1999-2
Amazonas,62.0,2000-2
Amazonas,8.0,2001-2
Amazonas,2.0,2002-2
Amazonas,62.0,2003-2
Amazonas,92.0,2004-2
Amazonas,6.0,2005-2
Amazonas,10.0,2006-2
Amazonas,92.0,2007-2
Amazonas,32.0,2008-2
Amazonas,3.0,2009-2
Amazonas,81.0,2010-2
Amazonas,30.0,2011-2
Amazonas,25.0,2012-2
Amazonas,16.0,2013-2
Amazonas,49.0,2014-2
Amazonas,107.0,2015-2
Amazonas,275.0,2016-2
Amazonas,52.0,2017-2
Amazonas,0.0,1998-3
Amazonas,7.0,1999-3
Amazonas,69.0,2000-3
Amazonas,6.0,2001-3
Amazonas,5.0,2002-3
Amazonas,64.0,2003-3
Amazonas,6.0,2004-3
Amazonas,12.0,2005-3
Amazonas,20.0,2006-3
Amazonas,6.0,2007-3
Amazonas,10.0,2008-3
Amazonas,11.0,2009-3
Amazonas,116.0,2010-3
Amazonas,49.0,2011-3
Amazonas,17.0,2012-3
Amazonas,49.0,2013-3
Amazonas,50.0,2014-3
Amazonas,46.0,2015-3
Amazonas,140.0,2016-3
Amazonas,45.0,2017-3
Amazonas,0.0,1998-4
Amazonas,2.0,1999-4
Amazonas,18.0,2000-4
Amazonas,1.0,2001-4
Amazonas,2.0,2002-4
Amazonas,11.0,2003-4
Amazonas,4.0,2004-4
Amazonas,5.0,2005-4
Amazonas,5.0,2006-4
Amazonas,0.0,2007-4
Amazonas,13.0,2008-4
Amazonas,1.0,2009-4
Amazonas,11.0,2010-4
Amazonas,5.0,2011-4
Amazonas,3.0,2012-4
Amazonas,20.0,2013-4
Amazonas,25.0,2014-4
Amazonas,24.0,2015-4
Amazonas,22.0,2016-4
Amazonas,20.0,2017-4
Amazonas,0.0,1998-5
Amazonas,0.0,1999-5
Amazonas,51.0,2000-5
Amazonas,0.0,2001-5
Amazonas,8.0,2002-5
Amazonas,2.0,2003-5
Amazonas,0.0,2004-5
Amazonas,8.0,2005-5
Amazonas,4.0,2006-5
Amazonas,0.0,2007-5
Amazonas,1.0,2008-5
Amazonas,3.0,2009-5
Amazonas,13.0,2010-5
Amazonas,6.0,2011-5
Amazonas,12.0,2012-5
Amazonas,19.0,2013-5
Amazonas,12.0,2014-5
Amazonas,10.0,2015-5
Amazonas,30.0,2016-5
Amazonas,40.0,2017-5
Amazonas,2.0,1998-6
Amazonas,7.0,1999-6
Amazonas,6.0,2000-6
Amazonas,5.0,2001-6
Amazonas,5.0,2002-6
Amazonas,3.0,2003-6
Amazonas,12.0,2004-6
Amazonas,78.0,2005-6
Amazonas,9.0,2006-6
Amazonas,23.0,2007-6
Amazonas,7.0,2008-6
Amazonas,13.0,2009-6
Amazonas,9.0,2010-6
Amazonas,22.0,2011-6
Amazonas,45.0,2012-6
Amazonas,56.0,2013-6
Amazonas,74.0,2014-6
Amazonas,33.0,2015-6
Amazonas,90.0,2016-6
Amazonas,119.0,2017-6
Amazonas,71.0,1998-7
Amazonas,11.0,1999-7
Amazonas,39.0,2000-7
Amazonas,9.0,2001-7
Amazonas,146.0,2002-7
Amazonas,180.0,2003-7
Amazonas,177.0,2004-7
Amazonas,676.0,2005-7
Amazonas,123.0,2006-7
Amazonas,116.0,2007-7
Amazonas,108.0,2008-7
Amazonas,199.0,2009-7
Amazonas,640.0,2010-7
Amazonas,271.0,2011-7
Amazonas,234.0,2012-7
Amazonas,248.0,2013-7
Amazonas,202.0,2014-7
Amazonas,356.0,2015-7
Amazonas,1.137,2016-7
Amazonas,1.975,2017-7
Amazonas,321.0,1998-8
Amazonas,259.0,1999-8
Amazonas,180.0,2000-8
Amazonas,501.0,2001-8
Amazonas,741.0,2002-8
Amazonas,1.867,2003-8
Amazonas,1.207,2004-8
Amazonas,2.316,2005-8
Amazonas,1.422,2006-8
Amazonas,2.241,2007-8
Amazonas,861.0,2008-8
Amazonas,1.321,2009-8
Amazonas,3.727,2010-8
Amazonas,1.2429999999999999,2011-8
Amazonas,3.011,2012-8
Amazonas,1.276,2013-8
Amazonas,3.852,2014-8
Amazonas,4.564,2015-8
Amazonas,3.611,2016-8
Amazonas,6.316,2017-8
Amazonas,267.0,1998-9
Amazonas,216.0,1999-9
Amazonas,189.0,2000-9
Amazonas,166.0,2001-9
Amazonas,928.0,2002-9
Amazonas,1.401,2003-9
Amazonas,911.0,2004-9
Amazonas,2.812,2005-9
Amazonas,2.218,2006-9
Amazonas,1.36,2007-9
Amazonas,998.0,2008-9
Amazonas,3.091,2009-9
Amazonas,2.781,2010-9
Amazonas,1.295,2011-9
Amazonas,2.392,2012-9
Amazonas,1.739,2013-9
Amazonas,3.057,2014-9
Amazonas,5.882000000000001,2015-9
Amazonas,3.1189999999999998,2016-9
Amazonas,4.033,2017-9
Amazonas,83.0,1998-10
Amazonas,479.0,1999-10
Amazonas,145.0,2000-10
Amazonas,332.0,2001-10
Amazonas,695.0,2002-10
Amazonas,725.0,2003-10
Amazonas,710.0,2004-10
Amazonas,545.0,2005-10
Amazonas,721.0,2006-10
Amazonas,215.0,2007-10
Amazonas,632.0,2008-10
Amazonas,2.189,2009-10
Amazonas,889.0,2010-10
Amazonas,694.0,2011-10
Amazonas,1.238,2012-10
Amazonas,1.202,2013-10
Amazonas,952.0,2014-10
Amazonas,2.494,2015-10
Amazonas,2.105,2016-10
Amazonas,1.581,2017-10
Amazonas,6.0,1998-11
Amazonas,32.0,1999-11
Amazonas,27.0,2000-11
Amazonas,244.0,2001-11
Amazonas,259.0,2002-11
Amazonas,169.0,2003-11
Amazonas,209.0,2004-11
Amazonas,261.0,2005-11
Amazonas,59.0,2006-11
Amazonas,90.0,2007-11
Amazonas,39.0,2008-11
Amazonas,973.0,2009-11
Amazonas,354.0,2010-11
Amazonas,399.0,2011-11
Amazonas,682.0,2012-11
Amazonas,220.0,2013-11
Amazonas,676.0,2014-11
Amazonas,1.054,2015-11
Amazonas,591.0,2016-11
Amazonas,552.0,2017-11
Amazonas,196.0,1998-12
Amazonas,2.0,1999-12
Amazonas,60.0,2000-12
Amazonas,22.0,2001-12
Amazonas,44.0,2002-12
Amazonas,147.0,2003-12
Amazonas,53.0,2004-12
Amazonas,17.0,2005-12
Amazonas,23.0,2006-12
Amazonas,7.0,2007-12
Amazonas,0.0,2008-12
Amazonas,102.0,2009-12
Amazonas,123.0,2010-12
Amazonas,121.0,2011-12
Amazonas,80.0,2012-12
Amazonas,236.0,2013-12
Amazonas,293.0,2014-12
Amazonas,565.0,2015-12
Amazonas,133.0,2016-12
Bahia,0.0,1998-1
Bahia,114.0,1999-1
Bahia,31.0,2000-1
Bahia,24.0,2001-1
Bahia,125.0,2002-1
Bahia,439.0,2003-1
Bahia,158.0,2004-1
Bahia,303.0,2005-1
Bahia,225.0,2006-1
Bahia,373.0,2007-1
Bahia,314.0,2008-1
Bahia,177.0,2009-1
Bahia,297.0,2010-1
Bahia,101.0,2011-1
Bahia,179.0,2012-1
Bahia,125.0,2013-1
Bahia,132.0,2014-1
Bahia,256.0,2015-1
Bahia,285.0,2016-1
Bahia,154.0,2017-1
Bahia,0.0,1998-2
