year,region,npg,birth_rate,death_rate,gdw,urbanization
1991,Kaluga Oblast,-1.8,10.6,12.4,78.18,70.07
1991,Kamchatka Krai,5.2,11.3,6.1,49.64,81.47
1991,Karachay-Cherkess Republic,8.0,16.7,8.7,82.75,49.12
1991,Republic of Karelia,0.9,11.4,10.5,73.21,81.83
1991,Kemerovo Oblast,0.2,11.8,11.6,76.91,87.06
1991,Kirov Oblast,-1.0,11.5,12.5,83.41,69.71
1991,Kostroma Oblast,-2.6,11.3,13.9,84.81,69.04
1991,Krasnodar Krai,-1.2,12.5,13.7,83.18,54.27
1991,Krasnoyarsk Krai,3.1,12.5,9.4,69.7,73.91
1991,Republic of Crimea,,,,,
1991,Kurgan Oblast,1.4,13.2,11.8,82.12,55.08
1991,Kursk Oblast,-4.2,10.6,14.8,86.21,58.91
1991,Leningrad Oblast,-2.8,9.8,12.6,83.26,66.09
1991,Lipetsk Oblast,-2.4,10.8,13.2,79.73,63.05
1991,Magadan Oblast,6.3,12.1,5.8,49.67,84.62
1991,Mari El Republic,3.7,14.0,10.3,81.31,62.06
1991,Republic of Mordovia,0.5,12.0,11.5,80.98,57.24
1991,Moscow,-3.7,9.1,12.8,70.74,100.0
1991,Moscow Oblast,-3.5,8.9,12.4,72.06,79.68
1991,Murmansk Oblast,3.8,9.8,6.0,54.98,91.58
1991,Nenets Autonomous Okrug,9.3,16.7,7.4,63.6,63.83
1991,Nizhny Novgorod Oblast,-2.8,9.9,12.7,80.56,77.12
1991,Novgorod Oblast,-3.7,10.9,14.6,83.71,69.89
1991,Novosibirsk Oblast,1.2,12.1,10.9,75.87,74.58
1991,Omsk Oblast,3.9,13.8,9.9,78.25,68.1
1991,Orenburg Oblast,3.5,13.9,10.4,80.05,64.67
1991,Oryol Oblast,-2.4,11.0,13.4,80.37,62.41
1991,Penza Oblast,-0.9,10.9,11.8,79.48,63.38
1991,Perm Krai,0.9,12.3,11.4,77.29,77.16
1991,Primorsky Krai,3.2,12.9,9.7,63.68,77.23
1991,Pskov Oblast,-4.7,10.7,15.4,85.72,63.48
1991,Altai Republic,7.7,18.2,10.5,89.98,27.07
1991,Komi Republic,4.8,12.7,7.9,62.35,76.02
1991,Tuva Republic,14.4,23.9,9.5,83.85,47.38
1991,Rostov Oblast,-1.0,11.7,12.7,77.43,71.14
1991,Ryazan Oblast,-3.6,10.3,13.9,81.46,65.85
1991,Samara Oblast,-0.2,11.0,11.2,72.76,80.87
1991,Saint Petersburg,-3.3,9.3,12.6,68.94,100.0
1991,Saratov Oblast,0.2,12.0,11.8,75.25,74.64
1991,Sakhalin Oblast,3.5,12.2,8.7,59.47,84.94
1991,Sverdlovsk Oblast,-0.7,10.7,11.4,76.28,87.61
1991,Sevastopol,,,,,
1991,Republic of North Ossetia-Alania,6.3,16.2,9.9,80.61,69.14
1991,Smolensk Oblast,-3.0,10.7,13.7,83.26,68.46
1991,Stavropol Krai,2.1,13.8,11.7,81.78,54.01
1991,Tambov Oblast,-4.6,10.6,15.2,86.09,56.52
1991,Republic of Tatarstan,3.5,13.6,10.1,78.33,73.64
1991,Tver Oblast,-4.7,10.2,14.9,86.82,71.34
1991,Tomsk Oblast,2.0,10.9,8.9,71.02,70.72
1991,Tula Oblast,-5.4,9.0,14.4,82.69,81.42
1991,Tyumen Oblast,7.2,14.0,6.8,73.48,77.48
1991,Udmurt Republic,3.8,13.7,9.9,77.93,70.29
1991,Ulyanovsk Oblast,1.2,12.5,11.3,77.21,72.03
1991,Khabarovsk Krai,3.8,13.1,9.3,64.05,80.28
1991,Republic of Khakassia,3.4,14.2,10.8,78.51,72.57
1991,Khanty–Mansi Autonomous Okrug – Yugra,10.3,14.9,4.6,58.89,91.9
1991,Chelyabinsk Oblast,1.2,11.7,10.5,76.9,82.77
1991,Chechen Republic,14.6,22.6,8.0,87.18,47.76
1991,Chuvash Republic,4.2,14.2,10.0,82.51,58.94
1991,Chukotka Autonomous Okrug,8.4,12.5,4.1,47.76,72.43
1991,Sakha (Yakutia) Republic,11.0,17.8,6.8,64.54,66.78
1991,Yamalo-Nenets Autonomous Okrug,11.3,14.7,3.4,53.22,82.69
1991,Yaroslavl Oblast,-3.7,9.7,13.4,78.79,81.72
1992,Republic of Adygea,-1.5,12.0,13.5,85.46,52.49
1992,Altai Krai,-1.4,10.4,11.8,79.55,55.21
1992,Amur Oblast,2.3,12.4,10.1,70.73,66.94
1992,Arkhangelsk Oblast,-1.3,10.4,11.7,73.73,73.28
1992,Astrakhan Oblast,0.9,12.1,11.2,78.35,67.6
1992,Republic of Bashkortostan,2.4,13.3,10.9,83.0,64.38
1992,Belgorod Oblast,-3.2,10.5,13.7,84.91,64.01
1992,Bryansk Oblast,-2.5,11.2,13.7,88.97,68.3
1992,Republic of Buryatia,3.4,13.3,9.9,79.68,59.77
1992,Vladimir Oblast,-4.3,9.1,13.4,79.57,79.6
1992,Volgograd Oblast,-1.4,10.6,12.0,78.89,75.78
1992,Vologda Oblast,-2.9,10.3,13.2,83.06,65.97
1992,Voronezh Oblast,-5.0,9.5,14.5,85.82,61.32
1992,Republic of Dagestan,16.3,22.9,6.6,94.99,44.12
1992,Jewish Autonomous Oblast,2.3,13.9,11.6,75.14,64.71
1992,Zabaykalsky Krai,4.1,14.2,10.1,78.31,64.31
1992,Ivanovo Oblast,-6.1,9.0,15.1,82.97,82.27
1992,Republic of Ingushetia,,,,97.53,27.06
1992,Irkutsk Oblast,1.2,12.6,11.4,73.43,80.38
1992,Kabardino-Balkar Republic,8.3,17.2,8.9,81.18,60.81
1992,Kaliningrad Oblast,-0.7,10.3,11.0,69.69,78.87
1992,Republic of Kalmykia,9.5,18.2,8.7,80.25,46.41
1992,Kaluga Oblast,-3.9,9.3,13.2,78.96,73.41
1992,Kamchatka Krai,2.8,10.2,7.4,49.64,81.54
1992,Karachay-Cherkess Republic,6.8,15.9,9.1,83.51,49.23
1992,Republic of Karelia,-2.4,10.1,12.5,73.44,82.02
1992,Kemerovo Oblast,-2.8,10.3,13.1,77.02,86.97
1992,Kirov Oblast,-2.9,10.1,13.0,83.51,69.79
1992,Kostroma Oblast,-5.2,9.3,14.5,85.13,69.11
1992,Krasnodar Krai,-2.4,11.5,13.9,83.1,54.18
1992,Krasnoyarsk Krai,0.4,11.0,10.6,69.97,73.65
1992,Republic of Crimea,,,,,
1992,Kurgan Oblast,-0.6,11.8,12.4,82.47,55.08
1992,Kursk Oblast,-5.2,9.7,14.9,87.12,59.21
1992,Leningrad Oblast,-5.6,8.6,14.2,83.75,66.21
1992,Lipetsk Oblast,-3.9,9.7,13.6,80.54,63.41
1992,Magadan Oblast,2.3,10.1,7.8,50.1,84.06
1992,Mari El Republic,1.2,12.2,11.0,81.37,62.36
1992,Republic of Mordovia,-1.4,10.6,12.0,81.24,57.65
1992,Moscow,-5.9,7.6,13.5,70.37,100.0
1992,Moscow Oblast,-5.5,7.7,13.2,72.69,79.7
1992,Murmansk Oblast,0.8,8.3,7.5,55.15,91.79
1992,Nenets Autonomous Okrug,5.9,14.7,8.8,64.41,63.4
1992,Nizhny Novgorod Oblast,-4.5,9.0,13.5,81.1,77.35
1992,Novgorod Oblast,-6.2,9.5,15.7,84.25,70.12
1992,Novosibirsk Oblast,-1.2,10.4,11.6,76.08,74.47
1992,Omsk Oblast,2.0,12.2,10.2,78.56,67.88
1992,Orenburg Oblast,1.5,12.6,11.1,80.98,64.49
1992,Oryol Oblast,-4.4,9.7,14.1,81.49,62.68
1992,Penza Oblast,-2.7,9.6,12.3,79.76,63.59
1992,Perm Krai,-1.4,11.2,12.6,77.3,77.14
1992,Primorsky Krai,0.3,10.9,10.6,63.88,77.14
1992,Pskov Oblast,-7.4,9.3,16.7,86.46,63.9
1992,Altai Republic,5.1,16.6,11.5,89.91,26.68
1992,Komi Republic,2.0,11.4,9.4,62.94,75.73
1992,Tuva Republic,11.7,21.6,9.9,83.4,48.1
1992,Rostov Oblast,-2.4,10.7,13.1,78.24,70.81
1992,Ryazan Oblast,-5.7,9.0,14.7,82.32,66.11
1992,Samara Oblast,-1.9,9.9,11.8,73.0,80.63
1992,Saint Petersburg,-5.9,7.6,13.5,69.65,100.0
1992,Saratov Oblast,-2.0,10.5,12.5,75.85,74.38
1992,Sakhalin Oblast,1.2,10.5,9.3,59.56,84.97
1992,Sverdlovsk Oblast,-3.2,9.4,12.6,76.31,87.48
1992,Sevastopol,,,,,
1992,Republic of North Ossetia-Alania,4.3,14.7,10.4,77.41,67.96
1992,Smolensk Oblast,-4.8,9.3,14.1,83.75,68.8
1992,Stavropol Krai,1.1,13.0,11.9,82.15,53.9
1992,Tambov Oblast,-5.6,9.7,15.3,86.92,56.7
1992,Republic of Tatarstan,1.5,12.1,10.6,78.86,73.37
1992,Tver Oblast,-7.4,8.8,16.2,87.7,71.53
1992,Tomsk Oblast,-0.3,9.5,9.8,70.85,70.65
1992,Tula Oblast,-7.6,8.2,15.8,83.66,81.51
1992,Tyumen Oblast,4.3,11.9,7.6,73.91,76.79
1992,Udmurt Republic,1.3,12.4,11.1,77.93,70.18
1992,Ulyanovsk Oblast,-0.5,10.9,11.4,77.74,72.19
1992,Khabarovsk Krai,0.4,10.9,10.5,64.18,80.28
1992,Republic of Khakassia,0.1,12.0,11.9,78.44,72.46
1992,Khanty–Mansi Autonomous Okrug – Yugra,6.9,12.5,5.6,58.86,91.93
1992,Chelyabinsk Oblast,-1.1,10.3,11.4,77.24,82.1
1992,Chechen Republic,12.5,19.9,7.4,86.71,46.33
1992,Chuvash Republic,1.9,12.4,10.5,82.51,59.31
1992,Chukotka Autonomous Okrug,5.9,11.5,5.6,48.01,73.26
1992,Sakha (Yakutia) Republic,8.3,16.3,8.0,65.15,66.7
1992,Yamalo-Nenets Autonomous Okrug,8.5,13.0,4.5,53.06,82.62
1992,Yaroslavl Oblast,-6.4,8.3,14.7,78.8,81.52
1993,Republic of Adygea,-4.2,10.7,14.9,85.73,53.69
1993,Altai Krai,-4.9,9.1,14.0,79.16,52.26
1993,Amur Oblast,-1.8,10.7,12.5,70.59,66.42
1993,Arkhangelsk Oblast,-5.4,9.1,14.5,73.56,73.29
1993,Astrakhan Oblast,-2.8,10.3,13.1,78.62,67.59
1993,Republic of Bashkortostan,-1.0,11.6,12.6,83.62,64.19
1993,Belgorod Oblast,-5.8,9.6,15.4,84.85,64.07
1993,Bryansk Oblast,-5.8,10.2,16.0,89.52,68.2
1993,Republic of Buryatia,-0.4,11.5,11.9,79.18,59.49
1993,Vladimir Oblast,-7.8,8.0,15.8,80.1,79.59
1993,Volgograd Oblast,-4.3,9.5,13.8,79.26,74.81
1993,Vologda Oblast,-6.4,9.0,15.4,83.01,66.04
1993,Voronezh Oblast,-8.1,8.6,16.7,86.21,61.16
1993,Republic of Dagestan,13.5,20.8,7.3,95.02,43.37
1993,Jewish Autonomous Oblast,-0.9,12.1,13.0,74.31,64.91
1993,Zabaykalsky Krai,-0.3,12.6,12.9,78.17,63.64
1993,Ivanovo Oblast,-9.0,8.1,17.1,83.36,82.27
1993,Republic of Ingushetia,,,,97.33,25.91
1993,Irkutsk Oblast,-2.7,11.1,13.8,73.6,79.32
1993,Kabardino-Balkar Republic,4.9,14.6,9.7,82.02,59.5
1993,Kaliningrad Oblast,-4.5,8.9,13.4,70.12,78.57
1993,Republic of Kalmykia,5.9,15.8,9.9,81.9,37.08
1993,Kaluga Oblast,-7.9,8.0,15.9,79.65,73.39
1993,Kamchatka Krai,-1.3,8.6,9.9,49.67,81.65
1993,Karachay-Cherkess Republic,2.9,12.9,10.0,84.27,47.61
1993,Republic of Karelia,-6.1,9.0,15.1,73.6,73.74
1993,Kemerovo Oblast,-6.6,9.1,15.7,77.03,86.85
1993,Kirov Oblast,-6.3,8.8,15.1,83.75,69.66
1993,Kostroma Oblast,-7.9,8.3,16.2,85.38,65.99
1993,Krasnodar Krai,-5.5,10.2,15.7,83.15,54.08
1993,Krasnoyarsk Krai,-3.3,9.7,13.0,69.85,73.56
1993,Republic of Crimea,,,,,
1993,Kurgan Oblast,-4.8,9.9,14.7,82.57,54.67
1993,Kursk Oblast,-7.6,9.1,16.7,87.54,59.01
1993,Leningrad Oblast,-10.7,7.1,17.8,84.04,66.24
1993,Lipetsk Oblast,-6.9,8.7,15.6,80.87,62.68
1993,Magadan Oblast,-2.4,8.9,11.3,50.29,84.58
1993,Mari El Republic,-2.1,10.6,12.7,81.46,62.21
1993,Republic of Mordovia,-4.1,9.7,13.8,81.23,57.73
1993,Moscow,-9.2,6.9,16.1,70.65,100.0
1993,Moscow Oblast,-9.1,6.9,16.0,73.42,79.69
1993,Murmansk Oblast,-2.8,7.2,10.0,55.19,92.07
1993,Nenets Autonomous Okrug,1.2,12.4,11.2,64.75,63.21
1993,Nizhny Novgorod Oblast,-8.1,7.9,16.0,81.75,77.35
1993,Novgorod Oblast,-10.9,8.0,18.9,84.91,70.09
1993,Novosibirsk Oblast,-5.5,8.9,14.4,76.25,73.99
1993,Omsk Oblast,-1.1,10.8,11.9,78.31,67.71
1993,Orenburg Oblast,-2.0,11.0,13.0,81.17,64.19
1993,Oryol Oblast,-6.9,9.2,16.1,82.01,62.49
1993,Penza Oblast,-5.9,8.9,14.8,79.57,63.45
1993,Perm Krai,-5.4,9.8,15.2,77.19,76.76
1993,Primorsky Krai,-3.4,9.6,13.0,63.86,77.18
1993,Pskov Oblast,-12.4,8.1,20.5,86.88,64.03
1993,Altai Republic,1.2,14.6,13.4,89.07,26.5
1993,Komi Republic,-2.1,10.1,12.2,63.06,75.2
1993,Tuva Republic,8.8,20.3,11.5,82.46,48.17
1993,Rostov Oblast,-5.5,9.4,14.9,79.18,68.73
1993,Ryazan Oblast,-9.1,8.1,17.2,83.07,65.98
1993,Samara Oblast,-4.9,9.1,14.0,72.79,80.51
1993,Saint Petersburg,-10.8,6.6,17.4,70.97,100.0
1993,Saratov Oblast,-5.5,9.1,14.6,75.92,74.06
1993,Sakhalin Oblast,-3.3,9.0,12.3,59.5,84.91
1993,Sverdlovsk Oblast,-6.5,8.5,15.0,76.3,87.46
1993,Sevastopol,,,,,
1993,Republic of North Ossetia-Alania,0.6,12.5,11.9,81.15,69.68
1993,Smolensk Oblast,-8.4,8.3,16.7,84.04,68.82
1993,Stavropol Krai,-2.3,11.0,13.3,82.98,53.55
1993,Tambov Oblast,-8.6,8.9,17.5,86.91,56.6
1993,Republic of Tatarstan,-0.9,11.0,11.9,78.94,73.33
1993,Tver Oblast,-11.8,7.9,19.7,88.6,71.43
1993,Tomsk Oblast,-4.4,8.1,12.5,70.56,65.73
1993,Tula Oblast,-10.8,7.7,18.5,84.45,81.39
1993,Tyumen Oblast,1.2,10.6,9.4,73.77,76.65
1993,Udmurt Republic,-2.9,10.6,13.5,77.42,69.83
1993,Ulyanovsk Oblast,-3.4,9.8,13.2,78.0,72.07
1993,Khabarovsk Krai,-2.8,9.7,12.5,63.89,80.27
1993,Republic of Khakassia,-3.9,10.7,14.6,78.07,72.3
1993,Khanty–Mansi Autonomous Okrug – Yugra,4.0,11.4,7.4,57.67,92.29
1993,Chelyabinsk Oblast,-4.5,8.9,13.4,77.32,81.38
1993,Chechen Republic,,,,86.37,44.85
1993,Chuvash Republic,-1.8,10.7,12.5,82.38,59.23
1993,Chukotka Autonomous Okrug,2.4,10.1,7.7,47.75,71.97
1993,Sakha (Yakutia) Republic,6.8,15.6,8.8,65.22,65.92
1993,Yamalo-Nenets Autonomous Okrug,6.3,12.2,5.9,51.79,82.69
1993,Yaroslavl Oblast,-9.9,7.2,17.1,79.05,81.17
1994,Republic of Adygea,-3.6,10.9,14.5,85.21,53.46
1994,Altai Krai,-5.9,9.2,15.1,78.21,52.06
1994,Amur Oblast,-2.3,11.0,13.3,69.48,66.14
1994,Arkhangelsk Oblast,-6.5,9.4,15.9,72.64,73.36
1994,Astrakhan Oblast,-3.6,10.7,14.3,78.07,67.46
1994,Republic of Bashkortostan,-1.7,11.7,13.4,83.69,64.16
1994,Belgorod Oblast,-5.8,9.8,15.6,84.22,64.25
1994,Bryansk Oblast,-7.2,9.8,17.0,89.08,68.07
1994,Republic of Buryatia,-1.2,11.9,13.1,77.97,59.43
1994,Vladimir Oblast,-9.3,8.1,17.4,80.1,79.65
1994,Volgograd Oblast,-5.8,9.5,15.3,78.93,74.36
1994,Vologda Oblast,-7.9,8.9,16.8,82.17,66.73
1994,Voronezh Oblast,-8.5,8.7,17.2,86.06,61.08
1994,Republic of Dagestan,13.8,21.0,7.2,94.37,43.09
1994,Jewish Autonomous Oblast,-2.1,12.1,14.2,72.92,64.96
1994,Zabaykalsky Krai,-1.6,13.0,14.6,77.01,63.51
1994,Ivanovo Oblast,-11.4,7.7,19.1,83.1,82.22
1994,Republic of Ingushetia,,,,95.25,25.31
1994,Irkutsk Oblast,-3.8,11.4,15.2,73.29,79.29
1994,Kabardino-Balkar Republic,4.1,14.0,9.9,82.33,59.18
1994,Kaliningrad Oblast,-5.6,9.1,14.7,69.78,78.42
1994,Republic of Kalmykia,4.6,14.8,10.2,81.79,37.47
1994,Kaluga Oblast,-9.3,8.2,17.5,79.41,73.3
1994,Kamchatka Krai,-2.0,9.2,11.2,49.34,81.84
1994,Karachay-Cherkess Republic,2.7,13.3,10.6,84.53,47.38
1994,Republic of Karelia,-8.4,8.8,17.2,73.29,73.97
1994,Kemerovo Oblast,-8.1,9.2,17.3,76.53,86.77
1994,Kirov Oblast,-8.0,8.6,16.6,83.3,69.85
1994,Kostroma Oblast,-9.7,8.8,18.5,85.13,66.18
1994,Krasnodar Krai,-5.4,10.4,15.8,82.55,53.95
1994,Krasnoyarsk Krai,-4.6,10.3,14.9,69.48,73.56
1994,Republic of Crimea,,,,,
1994,Kurgan Oblast,-5.3,10.1,15.4,82.12,54.8
1994,Kursk Oblast,-8.9,9.3,18.2,87.48,59.11
1994,Leningrad Oblast,-12.0,7.3,19.3,83.31,66.24
1994,Lipetsk Oblast,-8.1,8.8,16.9,80.87,62.7
1994,Magadan Oblast,-2.8,8.7,11.5,49.54,84.67
1994,Mari El Republic,-3.8,10.4,14.2,80.74,62.28
1994,Republic of Mordovia,-6.1,9.3,15.4,80.83,57.81
1994,Moscow,-9.5,7.4,16.9,69.93,100.0
1994,Moscow Oblast,-10.8,7.2,18.0,73.56,79.64
1994,Murmansk Oblast,-3.3,8.4,11.7,54.47,92.22
1994,Nenets Autonomous Okrug,2.7,14.3,11.6,63.97,62.89
1994,Nizhny Novgorod Oblast,-9.6,8.3,17.9,81.6,77.38
1994,Novgorod Oblast,-12.3,8.1,20.4,84.5,70.11
1994,Novosibirsk Oblast,-7.0,8.8,15.8,75.63,73.91
1994,Omsk Oblast,-2.4,10.6,13.0,77.59,67.61
1994,Orenburg Oblast,-3.1,11.1,14.2,80.48,64.06
1994,Oryol Oblast,-7.4,9.5,16.9,82.12,62.3
1994,Penza Oblast,-7.5,8.7,16.2,79.18,63.51
1994,Perm Krai,-7.5,9.8,17.3,76.49,76.79
1994,Primorsky Krai,-3.7,10.0,13.7,63.32,77.12
1994,Pskov Oblast,-14.7,8.0,22.7,86.18,64.22
1994,Altai Republic,0.3,14.8,14.5,87.7,26.32
1994,Komi Republic,-3.6,10.1,13.7,62.4,75.18
1994,Tuva Republic,6.6,20.1,13.5,81.62,48.5
1994,Rostov Oblast,-6.1,9.5,15.6,79.19,67.94
1994,Ryazan Oblast,-11.0,8.1,19.1,83.26,66.06
1994,Samara Oblast,-6.1,9.1,15.2,72.19,80.41
1994,Saint Petersburg,-10.1,7.1,17.2,71.31,100.0
1994,Saratov Oblast,-6.5,9.4,15.9,75.47,73.86
1994,Sakhalin Oblast,-4.9,9.4,14.3,58.96,84.33
1994,Sverdlovsk Oblast,-7.8,9.0,16.8,75.77,87.45
1994,Sevastopol,,,,,
1994,Republic of North Ossetia-Alania,0.7,13.2,12.5,81.71,70.23
1994,Smolensk Oblast,-9.6,8.6,18.2,83.31,68.91
1994,Stavropol Krai,-2.4,11.2,13.6,83.05,53.44
1994,Tambov Oblast,-9.5,9.0,18.5,86.67,56.64
1994,Republic of Tatarstan,-1.8,11.2,13.0,78.82,73.29
1994,Tver Oblast,-13.6,7.8,21.4,88.32,71.52
1994,Tomsk Oblast,-4.8,8.1,12.9,69.72,64.57
1994,Tula Oblast,-13.0,7.6,20.6,84.56,81.28
1994,Tyumen Oblast,0.8,10.9,10.1,72.97,76.38
1994,Udmurt Republic,-4.5,10.4,14.9,76.56,69.87
1994,Ulyanovsk Oblast,-4.1,9.9,14.0,77.45,72.16
1994,Khabarovsk Krai,-3.4,10.0,13.4,63.22,80.19
