cidade,area,quartos,banheiros,vagas,andar,animal,mobiliado,condominio,aluguel,iptu,seguro_incendio,valor_total
1,200,3,2,2,19,aceita,não,2573.0,10000,1121.0,127,13820
1,170,3,2,2,0,aceita,sim,0.0,3900,267.0,59,4226
1,46,1,1,2,16,aceita,sim,2210.0,6220,255.0,79,8764
1,20,1,1,0,4,aceita,sim,602.0,1800,130.0,23,2555
1,58,2,2,1,5,não aceita,sim,1000.0,4500,144.0,58,5702
1,96,3,2,3,4,aceita,não,1024.0,2350,313.0,30,3717
1,190,3,3,3,6,aceita,não,3000.0,13000,84.0,165,16250
1,87,3,2,4,14,aceita,não,800.0,2000,67.0,26,2893
1,42,1,1,0,5,aceita,não,350.0,2400,94.0,31,2875
1,145,3,3,1,10,aceita,sim,1380.0,11000,375.0,140,12900
1,250,4,6,4,12,não aceita,não,3000.0,14500,875.0,184,18560
1,90,2,1,1,1,aceita,não,1000.0,3000,50.0,39,4089
1,250,6,2,2,0,aceita,não,0.0,2472,26.0,38,2536
1,500,3,4,5,0,aceita,sim,0.0,7620,1094.0,115,8829
1,80,2,2,2,6,aceita,sim,1581.0,8800,112.0,112,10610
0,120,3,2,3,0,aceita,não,0.0,2500,180.0,38,2718
0,265,3,3,2,0,aceita,não,0.0,2400,140.0,37,2577
0,50,2,1,1,4,aceita,não,330.0,1080,0.0,14,1424
0,126,3,3,2,1,aceita,não,780.0,3800,167.0,49,4796
0,55,2,1,1,1,aceita,não,390.0,720,0.0,10,1120
1,29,1,1,1,20,aceita,sim,700.0,2700,84.0,35,3519
1,59,2,1,1,24,aceita,não,514.0,2450,138.0,32,3134
1,200,2,4,4,4,aceita,não,2450.0,7800,1417.0,99,11770
1,74,3,2,1,7,aceita,não,577.0,2196,100.0,28,2901
1,290,4,5,2,6,aceita,não,4300.0,10000,875.0,127,15300
1,172,3,4,3,1,aceita,não,1596.0,8000,820.0,102,10520
1,25,1,1,0,5,não aceita,sim,270.0,2600,67.0,33,2970
1,50,1,1,1,0,aceita,não,0.0,1100,0.0,17,1117
1,40,1,1,0,3,aceita,não,300.0,1100,0.0,14,1414
1,80,2,2,2,0,aceita,não,0.0,2465,0.0,38,2503
1,280,6,6,3,0,aceita,não,0.0,5000,1118.0,76,6194
1,60,1,1,1,12,aceita,sim,850.0,4723,0.0,18,5591
1,115,2,3,2,8,aceita,não,1380.0,12000,790.0,153,14320
1,540,3,3,4,9,aceita,não,6200.0,15000,3500.0,191,24890
1,76,2,1,1,12,não aceita,sim,906.0,4250,217.0,54,5427
0,150,4,5,2,1,aceita,não,1100.0,2980,360.0,38,4478
1,130,3,2,1,8,aceita,não,2400.0,5500,209.0,70,8179
0,64,2,1,1,0,aceita,não,441.0,730,18.0,10,1199
1,55,2,2,1,2,aceita,não,420.0,1300,50.0,17,1787
1,50,1,1,0,1,aceita,não,600.0,1300,0.0,17,1917
1,120,2,3,2,20,aceita,não,2000.0,7000,180.0,89,9269
0,236,3,4,4,10,aceita,não,1600.0,11000,440.0,140,13180
0,30,1,1,0,4,aceita,não,336.0,550,10.0,7,903
0,270,3,3,0,0,aceita,sim,0.0,8000,500.0,121,8621
0,48,1,1,0,9,aceita,não,350.0,670,21.0,9,1050
0,198,6,3,4,0,aceita,não,0.0,2000,145.0,31,2176
1,50,1,1,0,0,aceita,não,0.0,1080,59.0,17,1156
1,185,3,3,3,20,aceita,não,2670.0,5600,907.0,71,9248
1,440,4,4,4,0,aceita,não,0.0,12000,2500.0,181,14680
0,119,3,2,2,7,aceita,não,1650.0,1200,212.0,16,3078
1,57,2,2,2,16,aceita,não,510.0,1690,11.0,22,2233
1,65,2,1,1,1,aceita,não,100.0,1400,84.0,18,1602
1,35,2,1,1,0,aceita,não,125.0,2100,0.0,32,2257
0,51,1,2,1,16,não aceita,não,703.0,2100,150.0,27,2980
0,70,2,3,1,7,aceita,não,1196.0,2004,0.0,26,3226
1,90,2,1,1,0,aceita,não,,1500,0.0,23,1523
1,320,3,4,3,8,aceita,não,3400.0,6800,1.0,87,10290
1,250,7,5,2,0,aceita,não,0.0,12750,1045.0,192,13990
1,70,2,1,1,6,aceita,não,660.0,3800,45.0,49,4554
1,169,4,6,3,7,aceita,sim,2560.0,10000,734.0,127,13420
1,33,1,1,0,1,não aceita,não,338.0,1100,63.0,14,1515
1,225,4,4,3,7,aceita,não,2800.0,5000,1267.0,64,9131
1,42,1,1,0,2,aceita,sim,0.0,3256,0.0,42,3298
1,120,3,4,1,0,não aceita,não,0.0,4000,4.0,61,4065
1,70,3,2,2,3,não aceita,não,750.0,1500,148.0,20,2418
1,90,1,1,2,0,aceita,sim,0.0,3200,137.0,49,3386
1,260,4,5,4,9,aceita,sim,2014.0,3300,1000.0,42,6356
1,243,3,3,4,10,aceita,não,2678.0,5500,1950.0,70,10200
1,100,1,1,0,0,aceita,não,0.0,1530,0.0,12,1542
1,240,3,4,3,9,aceita,não,3211.0,5100,1102.0,65,9478
0,45,1,1,1,4,aceita,não,700.0,870,46.0,12,1628
1,65,1,1,1,2,aceita,sim,680.0,5000,14.0,64,5758
1,47,1,1,0,4,não aceita,não,100.0,1000,76.0,13,1189
1,60,2,1,0,2,aceita,sim,589.0,3300,65.0,42,3996
1,340,4,6,6,0,aceita,sim,,15000,250.0,226,15480
1,500,4,4,0,0,aceita,não,0.0,6000,467.0,91,6558
1,55,2,1,1,14,aceita,não,420.0,1399,0.0,18,1837
1,240,3,4,3,3,aceita,sim,3600.0,4950,1000.0,63,9613
1,65,2,2,1,1,aceita,não,650.0,2315,0.0,7,2972
1,68,1,1,0,0,não aceita,não,0.0,1213,0.0,6,1219
1,500,4,4,3,0,aceita,não,,10800,988.0,163,11950
1,198,2,2,2,13,aceita,não,1700.0,5500,320.0,70,7590
1,62,2,1,1,13,aceita,não,543.0,2200,59.0,28,2830
1,60,2,2,1,4,aceita,não,632.0,2806,25.0,36,3499
1,187,3,2,3,0,não aceita,sim,1700.0,8400,584.0,127,10810
1,25,1,1,0,23,aceita,não,432.0,2200,45.0,28,2705
1,230,3,4,3,0,aceita,não,0.0,3600,409.0,55,4064
1,17,1,1,0,1,não aceita,sim,300.0,2400,50.0,31,2781
1,67,2,2,1,17,aceita,não,740.0,2200,170.0,28,3138
1,20,1,1,0,1,aceita,sim,,2060,0.0,27,2087
1,118,3,2,2,7,aceita,sim,1880.0,8500,434.0,108,10920
1,43,1,1,1,2,aceita,não,850.0,2430,172.0,31,3483
1,195,2,3,1,10,aceita,não,1500.0,6000,334.0,77,7911
1,141,3,4,3,7,não aceita,não,1646.0,7500,735.0,96,9977
1,45,1,1,1,1,não aceita,não,550.0,2300,0.0,30,2880
1,48,1,1,1,19,aceita,não,588.0,1525,0.0,6,2119
1,280,3,4,2,3,não aceita,não,4000.0,6000,1059.0,77,11140
1,170,3,2,2,5,não aceita,não,2199.0,5000,423.0,64,7686
1,90,3,2,1,0,aceita,não,0.0,3260,0.0,50,3310
0,35,1,1,1,7,aceita,não,392.0,1100,13.0,14,1519
1,16,1,1,0,8,não aceita,não,390.0,2300,100.0,30,2820
0,68,1,1,1,10,não aceita,sim,600.0,1000,48.0,13,1661
1,80,3,5,2,4,não aceita,não,3460.0,12000,1000.0,153,16610
1,190,3,2,1,6,aceita,sim,3040.0,8000,556.0,102,11700
1,150,3,4,2,0,não aceita,não,0.0,3400,0.0,52,3452
1,112,3,3,2,12,aceita,sim,1100.0,2670,188.0,34,3992
1,145,3,4,3,1,não aceita,não,1200.0,6000,750.0,77,8027
0,47,1,1,1,8,aceita,não,560.0,1100,46.0,14,1720
1,128,3,2,1,3,aceita,sim,1094.0,4529,242.0,58,5923
1,250,3,4,4,0,aceita,não,0.0,4500,334.0,68,4902
1,120,3,1,0,2,aceita,não,250.0,1460,0.0,21,1731
1,110,2,2,2,0,não aceita,não,0.0,2700,300.0,41,3041
1,400,2,5,4,0,aceita,não,0.0,6000,484.0,91,6575
1,35,1,1,1,9,não aceita,sim,1050.0,2600,317.0,33,4000
1,107,2,2,2,18,aceita,sim,1800.0,12800,417.0,163,15180
1,97,2,2,0,1,aceita,não,1200.0,5600,0.0,71,6871
1,70,2,1,0,1,não aceita,não,350.0,1050,116.0,14,1530
1,20,1,1,0,3,não aceita,sim,150.0,3142,67.0,40,3399
1,130,3,2,2,6,aceita,não,1100.0,3500,209.0,45,4854
1,120,3,2,3,16,aceita,não,1400.0,2000,292.0,26,3718
1,110,3,3,2,2,aceita,sim,1000.0,3800,192.0,49,5041
1,300,3,5,3,0,aceita,não,0.0,11900,250.0,179,12330
1,349,4,5,4,8,não aceita,não,3100.0,11000,0.0,140,14240
1,97,3,2,2,1,aceita,não,730.0,3000,303.0,39,4072
1,84,4,1,3,5,não aceita,não,1914.0,6000,804.0,77,8795
1,180,2,2,1,0,não aceita,não,0.0,2800,105.0,43,2948
1,286,4,4,5,0,aceita,não,0.0,10000,1000.0,151,11150
1,500,5,7,5,22,aceita,não,5500.0,14000,2084.0,178,21760
1,110,3,3,3,4,aceita,não,1195.0,2350,670.0,30,4245
1,196,4,4,0,11,aceita,não,2450.0,6000,1458.0,77,9985
1,33,1,1,1,12,não aceita,não,552.0,4150,95.0,53,4850
1,400,4,4,3,0,aceita,não,,9000,542.0,136,9678
1,170,2,1,0,1,aceita,sim,0.0,2481,0.0,26,2507
1,90,1,1,0,0,aceita,não,0.0,2200,109.0,34,2343
1,184,3,4,3,12,aceita,não,2700.0,1400,692.0,18,4810
1,117,2,2,1,11,não aceita,sim,630.0,7130,150.0,91,8001
1,11,1,1,0,0,não aceita,sim,0.0,1181,0.0,15,1196
0,57,1,1,1,2,aceita,não,605.0,800,66.0,11,1482
1,16,1,1,0,1,não aceita,não,0.0,850,30.0,11,891
1,180,4,3,1,4,aceita,sim,1572.0,5000,240.0,64,6876
1,250,3,4,2,16,aceita,não,3300.0,6000,517.0,77,9894
1,220,3,4,2,0,aceita,sim,0.0,7000,434.0,106,7540
1,360,3,5,4,22,aceita,não,2398.0,3135,1467.0,40,7040
1,122,3,4,3,5,aceita,não,,4500,0.0,58,4558
1,138,3,4,3,2,não aceita,não,790.0,7000,690.0,89,8569
1,110,3,1,1,1,aceita,não,1235.0,1400,0.0,18,2653
1,220,4,3,3,3,aceita,não,1600.0,3400,0.0,44,5044
1,118,3,2,1,11,não aceita,não,1116.0,4775,185.0,61,6137
1,180,2,2,1,15,aceita,não,1800.0,5350,0.0,68,7218
1,52,2,1,1,7,aceita,não,540.0,1300,63.0,17,1920
1,30,1,1,0,1,aceita,sim,0.0,1550,21.0,20,1591
1,160,3,3,2,5,aceita,sim,1650.0,1500,419.0,20,3589
0,209,3,3,2,0,não aceita,não,593.0,2550,237.0,39,3419
1,450,5,5,6,0,aceita,não,0.0,9500,1345.0,143,10990
1,117,3,3,3,10,aceita,não,2280.0,2300,700.0,30,5310
1,900,4,6,8,0,aceita,não,0.0,15000,4417.0,226,19640
1,200,3,3,0,0,aceita,não,,4500,71.0,68,4639
1,128,3,3,2,10,aceita,não,2600.0,3800,605.0,49,7054
1,140,3,2,2,2,aceita,não,1480.0,3700,167.0,47,5394
1,180,3,3,4,27,aceita,não,2000.0,7000,859.0,89,9948
1,280,4,4,5,9,aceita,não,3000.0,3200,875.0,41,7116
1,420,4,6,4,8,aceita,não,3500.0,15000,2250.0,191,20940
1,48,1,1,1,8,aceita,sim,740.0,2700,137.0,35,3612
1,148,3,2,2,2,não aceita,sim,2830.0,9000,267.0,115,12210
1,75,2,1,1,5,não aceita,não,748.0,2000,0.0,26,2774
1,44,1,1,0,1,não aceita,não,417.0,3016,0.0,12,3445
1,35,1,1,0,0,aceita,não,0.0,1100,30.0,14,1144
1,320,4,2,2,0,aceita,sim,0.0,8000,642.0,121,8763
0,98,3,2,1,1,aceita,não,727.0,1233,84.0,16,2060
0,51,1,1,0,12,não aceita,sim,707.0,1300,45.0,17,2069
1,322,4,5,5,17,aceita,sim,2700.0,15000,1875.0,191,19770
1,187,4,5,3,5,aceita,não,3912.0,5300,1424.0,68,10700
1,62,3,2,1,6,não aceita,sim,1550.0,4800,167.0,61,6578
1,130,2,2,1,0,aceita,não,1100.0,4300,100.0,55,5555
0,600,4,6,3,0,aceita,não,1123.0,5500,819.0,83,7525
1,520,3,4,2,0,aceita,não,0.0,9000,1500.0,136,10640
1,86,1,2,1,13,aceita,sim,1800.0,6500,375.0,83,8758
1,72,2,2,1,6,aceita,não,1100.0,5431,334.0,69,6934
1,550,4,4,4,0,aceita,não,0.0,14000,1334.0,211,15550
1,50,1,1,0,0,não aceita,não,0.0,1220,0.0,19,1239
1,298,5,3,3,0,aceita,não,0.0,8000,1384.0,121,9505
0,74,3,2,1,10,aceita,não,700.0,1800,120.0,23,2643
1,41,1,1,0,17,aceita,sim,450.0,2470,0.0,32,2952
0,80,3,2,2,2,aceita,não,750.0,1450,110.0,19,2329
1,130,3,2,1,1,aceita,não,1200.0,4500,100.0,58,5858
1,64,1,2,2,15,aceita,não,691.0,2100,92.0,27,2910
1,50,1,1,1,9,não aceita,não,1170.0,2730,9.0,35,3944
1,200,3,2,4,0,aceita,não,0.0,3500,0.0,53,3553
1,70,1,1,2,9,aceita,sim,2150.0,7000,542.0,89,9781
0,41,1,1,1,11,aceita,não,390.0,1950,65.0,14,2419
1,89,2,2,0,2,aceita,não,1000.0,1900,0.0,25,2925
1,250,4,2,8,0,aceita,não,0.0,13040,500.0,197,13740
1,105,2,1,0,0,aceita,não,0.0,1800,125.0,28,1953
1,150,2,2,1,0,aceita,não,1.0,2100,0.0,32,2133
1,50,2,1,1,14,não aceita,não,450.0,1950,0.0,25,2425
1,180,3,2,1,0,aceita,não,,5400,459.0,82,5941
1,50,1,1,0,0,não aceita,não,0.0,1000,0.0,16,1016
0,70,1,1,2,0,aceita,não,0.0,1450,5.0,22,1477
1,177,2,2,2,0,aceita,não,0.0,6000,342.0,91,6433
1,177,4,5,4,12,aceita,não,1500.0,9200,959.0,117,11780
1,18,1,1,0,0,aceita,não,0.0,1710,0.0,22,1732
1,200,3,4,2,0,aceita,não,0.0,2900,1100.0,44,4044
1,45,1,1,1,1,não aceita,sim,3000.0,5520,0.0,70,8590
0,70,2,1,1,3,aceita,não,220.0,750,43.0,10,1023
1,66,3,2,1,9,aceita,não,708.0,2179,13.0,28,2928
1,48,2,1,0,2,aceita,não,90.0,1150,90.0,15,1345
1,515,5,4,3,5,aceita,não,5600.0,15000,250.0,191,21040
1,55,2,2,1,7,aceita,não,650.0,2000,0.0,26,2676
1,350,4,5,2,0,aceita,não,0.0,5000,325.0,76,5401
1,260,3,3,3,8,aceita,sim,2210.0,5000,842.0,64,8116
1,78,2,1,1,7,aceita,não,645.0,2000,35.0,26,2706
1,35,1,1,0,6,aceita,sim,420.0,1780,0.0,23,2223
1,106,2,1,2,0,não aceita,não,0.0,2100,110.0,32,2242
1,500,3,3,5,0,aceita,sim,0.0,15000,1125.0,226,16350
1,38,1,1,0,0,não aceita,não,,1650,0.0,25,1675
1,153,2,2,1,15,aceita,sim,1500.0,11900,350.0,151,13900
1,64,2,2,2,5,aceita,não,830.0,1600,205.0,21,2656
1,260,3,4,4,0,aceita,não,0.0,4500,0.0,68,4568
0,50,1,1,1,11,aceita,não,1500.0,500,105.0,7,2112
1,170,3,2,1,14,aceita,sim,1700.0,4500,85.0,58,6343
1,120,2,2,2,15,aceita,sim,1043.0,4880,264.0,62,6249
1,700,4,5,2,10,aceita,sim,3000.0,8000,402.0,102,11500
1,270,5,7,2,0,aceita,não,0.0,3978,89.0,60,4127
1,40,1,1,0,6,aceita,não,890.0,3463,0.0,32,4385
1,640,4,4,4,12,aceita,sim,5400.0,10200,1584.0,130,17310
1,40,1,1,0,0,aceita,não,0.0,980,59.0,15,1054
1,40,2,1,0,3,aceita,não,348.0,1100,0.0,14,1462
1,42,1,1,1,0,aceita,sim,450.0,2000,88.0,26,2564
1,62,1,1,0,3,aceita,não,550.0,2100,0.0,27,2677
1,106,2,3,2,18,não aceita,sim,950.0,5000,250.0,64,6264
1,103,3,2,1,7,aceita,não,944.0,4400,126.0,56,5526
1,360,3,5,3,13,aceita,não,4300.0,8500,1500.0,108,14410
1,113,1,1,2,9,aceita,sim,650.0,6400,0.0,82,7132
1,164,4,4,3,1,aceita,não,1840.0,6000,550.0,77,8467
1,110,3,2,3,0,aceita,não,0.0,2800,15.0,43,2858
1,110,2,2,1,8,aceita,sim,1285.0,4348,196.0,56,5885
1,136,4,3,1,3,aceita,não,1800.0,4200,312.0,54,6366
0,65,1,1,1,9,aceita,não,380.0,1200,83.0,16,1679
1,62,2,1,1,8,não aceita,não,735.0,1345,35.0,18,2133
0,163,3,5,3,20,aceita,não,1450.0,9800,350.0,125,11730
1,47,2,1,1,12,aceita,não,597.0,1570,0.0,20,2187
1,50,1,1,1,1,aceita,não,795.0,3500,213.0,45,4553
1,79,3,2,2,6,aceita,sim,900.0,3000,209.0,39,4148
1,250,3,3,2,7,não aceita,sim,1400.0,5380,234.0,69,7083
1,50,2,1,1,6,aceita,não,380.0,1210,0.0,16,1606
1,150,3,3,2,0,aceita,não,0.0,5000,235.0,76,5311
0,76,2,1,0,2,aceita,não,300.0,700,100.0,9,1109
1,72,2,2,1,7,aceita,não,520.0,1800,159.0,23,2502
1,35,1,1,1,17,aceita,sim,1280.0,4000,200.0,51,5531
1,250,3,4,4,16,aceita,não,3421.0,10700,1224.0,136,15480
0,85,3,1,1,9,não aceita,não,598.0,1110,63.0,15,1786
0,60,1,1,1,14,aceita,não,583.0,1100,49.0,14,1746
0,47,2,1,1,0,aceita,não,255.0,1290,33.0,17,1595
1,104,3,3,2,3,não aceita,sim,915.0,9000,254.0,115,10280
0,203,3,1,2,0,aceita,não,0.0,3300,117.0,50,3467
1,136,3,2,1,85,aceita,não,1513.0,3500,260.0,45,5318
1,53,1,1,1,3,aceita,não,694.0,4500,200.0,58,5452
1,400,4,3,2,0,aceita,não,0.0,15000,1870.0,226,17100
1,40,1,1,1,14,aceita,sim,480.0,4200,75.0,54,4809
1,38,1,1,0,6,aceita,não,0.0,1680,0.0,22,1702
1,340,4,6,4,8,aceita,sim,3100.0,2800,1667.0,36,7603
0,134,3,3,2,7,não aceita,não,1000.0,2500,177.0,32,3709
1,97,2,2,0,9,aceita,sim,453.0,3000,0.0,39,3492
1,90,1,1,0,0,não aceita,não,,1150,59.0,18,1227
1,260,4,5,2,1,aceita,sim,2600.0,8000,417.0,102,11120
1,66,2,1,0,7,aceita,não,356.0,1650,0.0,21,2027
1,92,2,1,1,12,não aceita,não,2750.0,2930,448.0,38,6166
1,92,3,3,1,3,aceita,sim,750.0,4250,21.0,54,5075
1,155,3,4,2,14,aceita,não,1400.0,13100,409.0,166,15080
1,30,1,1,0,1,não aceita,não,,900,0.0,12,912
1,27,1,1,0,5,não aceita,não,1405.0,3500,1.0,45,4951
1,175,4,3,2,0,aceita,não,0.0,3200,380.0,49,3629
1,326,3,4,4,12,aceita,não,2808.0,6500,1605.0,83,11000
1,236,4,5,4,7,aceita,não,3500.0,10000,1834.0,127,15460
0,119,3,1,1,5,aceita,não,926.0,1200,100.0,16,2242
1,23,1,1,0,23,aceita,não,383.0,2050,40.0,26,2499
1,260,2,4,4,19,não aceita,não,2000.0,8000,667.0,102,10770
1,400,3,3,2,0,não aceita,não,0.0,12000,0.0,181,12180
1,87,1,1,2,14,aceita,sim,870.0,7900,150.0,101,9021
1,65,2,1,1,0,aceita,não,0.0,1800,0.0,28,1828
1,210,3,4,4,11,aceita,sim,2000.0,15000,1000.0,191,18190
1,250,3,4,2,0,aceita,não,0.0,4200,192.0,64,4456
1,155,3,2,3,4,aceita,sim,2600.0,11700,667.0,149,15120
0,300,4,3,5,0,aceita,não,0.0,4100,20.0,62,4182
0,70,3,2,2,4,aceita,não,500.0,1800,78.0,23,2401
1,68,1,2,1,11,aceita,não,1200.0,4500,100.0,58,5858
0,220,3,5,3,4,não aceita,sim,2000.0,7900,417.0,101,10420
0,91,3,2,2,12,aceita,não,700.0,2250,175.0,29,3154
0,230,4,4,8,0,aceita,não,0.0,5100,320.0,77,5497
0,48,2,1,0,4,aceita,não,288.0,950,45.0,13,1296
1,90,2,2,2,15,não aceita,sim,1400.0,10000,0.0,127,11530
1,60,1,1,1,15,aceita,sim,1000.0,5500,200.0,70,6770
1,450,4,4,3,14,aceita,não,5500.0,15000,0.0,191,20690
1,16,1,1,0,1,não aceita,não,0.0,850,35.0,11,896
1,100,3,2,1,8,aceita,não,1100.0,1400,291.0,18,2809
1,300,3,3,3,0,aceita,não,1.0,3400,417.0,52,3870
1,151,3,4,3,14,não aceita,sim,1700.0,6800,475.0,87,9062
1,150,3,4,3,12,aceita,sim,2092.0,7608,730.0,97,10530
1,57,2,1,1,7,aceita,não,570.0,1500,67.0,20,2157
1,30,1,1,1,4,não aceita,sim,1787.0,1200,144.0,16,3147
0,53,1,1,1,8,aceita,sim,1350.0,3110,85.0,40,4585
1,270,3,4,3,0,aceita,não,,6800,417.0,103,7320
1,78,2,2,2,8,aceita,sim,1400.0,5800,334.0,74,7608
1,20,1,1,0,1,não aceita,sim,150.0,3142,67.0,40,3399
1,140,5,2,1,1,aceita,sim,0.0,3999,200.0,51,4250
1,155,3,3,2,2,aceita,sim,2300.0,12000,700.0,153,15150
1,118,3,2,4,1,aceita,não,850.0,2250,334.0,29,3463
0,235,4,4,3,13,aceita,não,3450.0,5500,541.0,70,9561
1,400,4,4,4,9,aceita,não,4700.0,9000,1125.0,115,14940
1,80,2,2,1,6,não aceita,não,1015.0,3500,117.0,45,4677
1,50,1,1,0,2,não aceita,sim,710.0,3100,85.0,12,3907
0,55,2,2,1,9,aceita,não,337.0,2500,86.0,32,2955
1,400,4,4,4,0,aceita,não,0.0,8500,1250.0,128,9878
1,63,3,2,0,18,aceita,não,550.0,1800,0.0,23,2373
1,325,4,3,2,3,aceita,não,4500.0,8500,1111.0,108,14220
